,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459690.8852199,99.0,99.0,i,20.5138847405858,2.0,1.0
1,2459693.7770255,20.4202784450328,0.117841375812813,r,21.0839197233577,2.0,1.0
2,2459693.8239699,20.6775991740651,0.158563873527276,r,21.0189743467324,2.0,1.0
3,2459693.8653588,20.1142997382316,0.160241584634508,i,20.4442474496737,2.0,1.0
4,2459693.9240972,20.3244614689053,0.126162658482586,g,20.9140201784661,2.0,1.0
5,2459693.9697454,20.375572897536,0.169664152515082,g,20.6434834563408,2.0,1.0
6,2459694.7797222,20.174899112962,0.0915922649028003,r,21.1121379059808,2.0,1.0
7,2459694.8271991,20.238988986891,0.084491874051927,r,21.2638374185225,2.0,1.0
8,2459694.890081,20.1601401454374,0.116896788993753,g,20.8325194800085,2.0,1.0
9,2459694.9232407,20.0438075484973,0.123495135832487,g,20.6565687072171,2.0,1.0
10,2459695.8112153,19.7452321901733,0.120992898582754,r,20.3802182765485,2.0,1.0
11,2459695.8427315,19.7598410789022,0.163173853668137,g,20.0701004420801,2.0,1.0
12,2459695.8855903,99.0,99.0,g,19.2317775407032,2.0,1.0
13,2459695.9273611,99.0,99.0,r,19.6024606717428,2.0,1.0
14,2459696.8210764,20.2579104764365,0.22750020388792,i,20.2073417899971,2.0,1.0
15,2459697.7585185,19.8974488992596,0.0572232715233461,g,21.3454029800571,2.0,1.0
16,2459697.8180671,19.8626449352749,0.0533115222186606,r,21.3874780162847,2.0,1.0
17,2459697.8853125,19.9504658958965,0.0658816835655518,r,21.2454399630739,2.0,1.0
18,2459697.9233449,19.9127279556209,0.048914615421484,g,21.5310171363448,2.0,1.0
19,2459693.7770255,20.3973007202148,0.220976993441582,r,99.0,2.0,0.0
20,2459693.9240972,20.2950000762939,0.276039987802505,g,99.0,2.0,0.0
21,2459694.7797222,20.1860237121582,0.185666471719742,r,99.0,2.0,0.0
22,2459694.8271991,20.2754898071289,0.19139139354229,r,99.0,2.0,0.0
23,2459694.890081,20.1634998321533,0.240553006529808,g,99.0,2.0,0.0
24,2459694.9232407,20.0879001617432,0.222095996141434,g,99.0,2.0,0.0
25,2459695.8112153,19.8190002441406,0.230367004871368,r,99.0,2.0,0.0
26,2459697.7585185,19.9192752838135,0.158429056406021,g,99.0,2.0,0.0
27,2459697.7802894,19.825008392334,0.132875189185143,g,99.0,1.0,0.0
28,2459697.8180671,19.866979598999,0.130562961101532,r,99.0,2.0,0.0
29,2459697.8853125,19.9433345794678,0.15040235221386,r,99.0,2.0,0.0
30,2459697.9233449,19.9087429046631,0.114095062017441,g,99.0,2.0,0.0
31,2459693.7770255,20.3973007202148,0.220976993441582,r,99.0,2.0,0.0
32,2459693.9240972,20.2950000762939,0.276039987802505,g,99.0,2.0,0.0
33,2459694.7797222,20.1860237121582,0.185666471719742,r,99.0,2.0,0.0
34,2459694.890081,20.1634998321533,0.240553006529808,g,99.0,2.0,0.0
35,2459694.9232407,20.0879001617432,0.222095996141434,g,99.0,2.0,0.0
36,2459695.8112153,19.8190002441406,0.230367004871368,r,99.0,2.0,0.0
37,2459697.7585185,19.9192752838135,0.158429056406021,g,99.0,2.0,0.0
38,2459697.7802894,19.825008392334,0.132875189185143,g,99.0,1.0,0.0
39,2459697.8180671,19.866979598999,0.130562961101532,r,99.0,2.0,0.0
40,2459697.8853125,19.9433345794678,0.15040235221386,r,99.0,2.0,0.0
41,2459697.9233449,19.9087429046631,0.114095062017441,g,99.0,2.0,0.0
42,2459693.7770255,20.3973007202148,0.220976993441582,r,99.0,2.0,0.0
43,2459694.7797222,20.1860237121582,0.185666471719742,r,99.0,2.0,0.0
44,2459694.890081,20.1634998321533,0.240553006529808,g,99.0,2.0,0.0
45,2459694.9232407,20.0879001617432,0.222095996141434,g,99.0,2.0,0.0
46,2459695.8112153,19.8190002441406,0.230367004871368,r,99.0,2.0,0.0
47,2459697.7585185,19.9192752838135,0.158429056406021,g,99.0,2.0,0.0
48,2459697.7802894,19.825008392334,0.132875189185143,g,99.0,1.0,0.0
49,2459697.8180671,19.866979598999,0.130562961101532,r,99.0,2.0,0.0
50,2459697.8853125,19.9433345794678,0.15040235221386,r,99.0,2.0,0.0
51,2459697.9233449,19.9087429046631,0.114095062017441,g,99.0,2.0,0.0
52,2459694.7797222,20.1860237121582,0.185666471719742,r,99.0,2.0,0.0
53,2459694.890081,20.1634998321533,0.240553006529808,g,99.0,2.0,0.0
54,2459694.9232407,20.0879001617432,0.222095996141434,g,99.0,2.0,0.0
55,2459695.8112153,19.8190002441406,0.230367004871368,r,99.0,2.0,0.0
56,2459697.7585185,19.9192752838135,0.158429056406021,g,99.0,2.0,0.0
57,2459697.7802894,19.825008392334,0.132875189185143,g,99.0,1.0,0.0
58,2459697.8180671,19.866979598999,0.130562961101532,r,99.0,2.0,0.0
59,2459697.8853125,19.9433345794678,0.15040235221386,r,99.0,2.0,0.0
60,2459697.9233449,19.9087429046631,0.114095062017441,g,99.0,2.0,0.0
61,2459694.890081,20.1634998321533,0.240553006529808,g,99.0,2.0,0.0
62,2459694.9232407,20.0879001617432,0.222095996141434,g,99.0,2.0,0.0
