,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459693.8580556,99.0,99.0,i,20.124857253672,2.0,1.0
1,2459695.8782176,99.0,99.0,g,18.9639324498403,2.0,1.0
2,2459695.9086343,20.5967671508831,0.188905828289894,r,20.7480395465583,2.0,1.0
3,2459695.922581,99.0,99.0,r,17.7245886143551,2.0,1.0
4,2459697.7818287,20.4715667156356,0.081793226680947,g,21.5316591519327,2.0,1.0
5,2459697.8161574,20.5835913091177,0.0941543021949032,r,21.4908766756222,2.0,1.0
6,2459697.8508912,99.0,99.0,i,20.469017162048,2.0,1.0
7,2459697.8591204,20.3179354076452,0.220262636231092,r,20.3024691147186,2.0,1.0
8,2459697.9339699,20.5211889880151,0.0873162441298431,g,21.5103371609786,2.0,1.0
9,2459694.9050231,20.613000869751,0.335824012756348,g,99.0,1.0,0.0
10,2459696.8409028,20.804500579834,0.255905002355576,g,99.0,1.0,0.0
11,2459697.7818287,20.4870719909668,0.191220715641975,g,99.0,2.0,0.0
12,2459697.8161574,20.621000289917,0.271779000759125,r,99.0,2.0,0.0
13,2459697.9339699,20.5096244812012,0.21372464299202,g,99.0,2.0,0.0
14,2459694.9050231,20.613000869751,0.335824012756348,g,99.0,1.0,0.0
15,2459697.7818287,20.4870719909668,0.191220715641975,g,99.0,2.0,0.0
16,2459697.8161574,20.621000289917,0.271779000759125,r,99.0,2.0,0.0
17,2459697.9339699,20.5096244812012,0.21372464299202,g,99.0,2.0,0.0
18,2459694.9050231,20.613000869751,0.335824012756348,g,99.0,1.0,0.0
19,2459697.8161574,20.621000289917,0.271779000759125,r,99.0,2.0,0.0
20,2459697.9339699,20.5096244812012,0.21372464299202,g,99.0,2.0,0.0
21,2459694.9050231,20.613000869751,0.335824012756348,g,99.0,1.0,0.0
22,2459697.8161574,20.621000289917,0.271779000759125,r,99.0,2.0,0.0
23,2459694.9050231,20.613000869751,0.335824012756348,g,99.0,1.0,0.0
