,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459690.9347569,99.0,99.0,g,20.2969619000182,2.0,1.0
1,2459693.8118519,99.0,99.0,r,20.7233138411712,2.0,1.0
2,2459693.8163079,99.0,99.0,r,20.4616199793741,2.0,1.0
3,2459693.8172454,20.6978508601963,0.235431030241908,r,20.6100773915632,2.0,1.0
4,2459693.8540509,99.0,99.0,g,20.6217342374509,2.0,1.0
5,2459693.8571181,99.0,99.0,i,19.886808156296,2.0,1.0
6,2459693.9394676,99.0,99.0,g,20.4938166125432,2.0,1.0
7,2459694.7249306,99.0,99.0,i,20.0256072986016,2.0,1.0
8,2459694.7897222,20.7180581775654,0.21975425833212,r,20.7051007180179,2.0,1.0
9,2459694.8031366,20.7841755208184,0.230666009592467,r,20.7186023033861,2.0,1.0
10,2459694.8751273,99.0,99.0,g,20.6197256210957,2.0,1.0
11,2459694.9040741,20.5978666215446,0.257742530696101,g,20.411787189612,2.0,1.0
12,2459695.831412,99.0,99.0,i,18.2011049399617,2.0,1.0
13,2459695.8772801,99.0,99.0,g,19.8044246352412,2.0,1.0
14,2459695.9216319,99.0,99.0,r,17.9161465670333,2.0,1.0
15,2459697.7860764,19.8924238514195,0.0670941090714483,g,21.1675986646069,2.0,1.0
16,2459697.8147338,20.1094340070629,0.0893621971676397,r,21.0734352003267,2.0,1.0
17,2459697.8326273,20.1123603677173,0.125048991634885,r,20.7115456717238,2.0,1.0
18,2459697.8499306,20.2493731584722,0.190297988315652,i,20.3926734543556,2.0,1.0
19,2459697.8504051,19.9526239225507,0.155444869784328,i,20.3155687281342,2.0,1.0
20,2459697.8596065,19.7882086808449,0.110991234860381,r,20.5168727617551,2.0,1.0
21,2459697.8814699,99.0,99.0,r,19.2293192785707,2.0,1.0
22,2459697.9209606,20.0825571139643,0.0802286620073218,g,21.1636190294821,2.0,1.0
23,2459694.8021991,20.5298004150391,0.334937989711761,r,99.0,1.0,0.0
24,2459695.8703009,20.5491008758545,0.258522003889084,g,99.0,1.0,0.0
25,2459697.7856019,19.9297485351562,0.138324171304703,g,99.0,1.0,0.0
26,2459697.7860764,19.932222366333,0.136031627655029,g,99.0,2.0,0.0
27,2459697.7870139,20.0909252166748,0.178276389837265,g,99.0,1.0,0.0
28,2459697.8326273,20.0879917144775,0.179625019431114,r,99.0,2.0,0.0
29,2459697.8577083,19.9893417358398,0.139745682477951,r,99.0,1.0,0.0
30,2459697.8581829,20.1996822357178,0.188596561551094,r,99.0,1.0,0.0
31,2459697.8596065,19.8262996673584,0.235615000128746,r,99.0,2.0,0.0
32,2459697.9209606,20.0900115966797,0.178853169083595,g,99.0,2.0,0.0
33,2459694.8021991,20.5298004150391,0.334937989711761,r,99.0,1.0,0.0
34,2459697.7856019,19.9297485351562,0.138324171304703,g,99.0,1.0,0.0
35,2459697.7860764,19.932222366333,0.136031627655029,g,99.0,2.0,0.0
36,2459697.7870139,20.0909252166748,0.178276389837265,g,99.0,1.0,0.0
37,2459697.8326273,20.0879917144775,0.179625019431114,r,99.0,2.0,0.0
38,2459697.8577083,19.9893417358398,0.139745682477951,r,99.0,1.0,0.0
39,2459697.8581829,20.1996822357178,0.188596561551094,r,99.0,1.0,0.0
40,2459697.8596065,19.8262996673584,0.235615000128746,r,99.0,2.0,0.0
41,2459697.9209606,20.0900115966797,0.178853169083595,g,99.0,2.0,0.0
