,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459694.6947917,19.2547817307965,0.0875297045830746,i,20.2412788631244,2.0,1.0
1,2459697.7478819,19.9127350557114,0.116597257873569,i,20.5879000027157,2.0,1.0
2,2459693.6929861,18.9830894470215,0.0897370576858521,r,99.0,1.0,0.0
3,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
4,2459694.6947917,19.3517837524414,0.214289799332619,i,99.0,2.0,0.0
5,2459695.6936806,19.3799896240234,0.184408947825432,r,99.0,1.0,0.0
6,2459697.6739352,19.9005012512207,0.169597193598747,r,99.0,1.0,0.0
7,2459697.7147685,20.2011108398438,0.203274205327034,g,99.0,1.0,0.0
8,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
9,2459694.6947917,19.3517837524414,0.214289799332619,i,99.0,2.0,0.0
10,2459695.6936806,19.3799896240234,0.184408947825432,r,99.0,1.0,0.0
11,2459697.6739352,19.9005012512207,0.169597193598747,r,99.0,1.0,0.0
12,2459697.7147685,20.2011108398438,0.203274205327034,g,99.0,1.0,0.0
13,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
14,2459695.6936806,19.3799896240234,0.184408947825432,r,99.0,1.0,0.0
15,2459697.6739352,19.9005012512207,0.169597193598747,r,99.0,1.0,0.0
16,2459697.7147685,20.2011108398438,0.203274205327034,g,99.0,1.0,0.0
17,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
18,2459697.6739352,19.9005012512207,0.169597193598747,r,99.0,1.0,0.0
19,2459697.7147685,20.2011108398438,0.203274205327034,g,99.0,1.0,0.0
20,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
21,2459697.7147685,20.2011108398438,0.203274205327034,g,99.0,1.0,0.0
22,2459693.7198495,18.8758888244629,0.111348256468773,g,99.0,1.0,0.0
