,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459695.8309375,99.0,99.0,i,18.62575082631,2.0,1.0
1,2459697.7846528,20.1286057685238,0.072326741760418,g,21.3222443049838,2.0,1.0
2,2459697.8142593,20.1135106355685,0.0907565111404766,r,21.0607019436694,2.0,1.0
3,2459697.8809954,99.0,99.0,r,20.0682829829656,2.0,1.0
4,2459697.9190741,99.0,99.0,g,18.3390047691761,2.0,1.0
5,2459698.8634491,19.8795327827342,0.0842257463070277,r,20.9078064021647,2.0,1.0
6,2459698.9004282,20.0301856803511,0.103263112784693,r,20.8372084385138,2.0,1.0
7,2459699.8208565,19.6615124360269,0.0577182786115766,r,21.1001147995498,2.0,1.0
8,2459699.8577431,19.648842534736,0.060465696925486,r,21.0369556665763,2.0,1.0
9,2459699.8775347,19.9374477905533,0.0724011241683207,g,21.1299703058539,2.0,1.0
10,2459699.9002315,20.0631193414637,0.141994115902472,i,20.5243292605136,2.0,1.0
11,2459697.9200231,20.1905994415283,0.239348992705345,g,99.0,1.0,0.0
12,2459698.8634491,19.9282646179199,0.196179643273354,r,99.0,2.0,0.0
13,2459698.9004282,20.0026111602783,0.193138808012009,r,99.0,2.0,0.0
14,2459699.8208565,19.7239398956299,0.184167072176933,r,99.0,2.0,0.0
15,2459699.8577431,19.6800918579102,0.138104528188705,r,99.0,2.0,0.0
16,2459697.9200231,20.1905994415283,0.239348992705345,g,99.0,1.0,0.0
17,2459698.9004282,20.0026111602783,0.193138808012009,r,99.0,2.0,0.0
18,2459699.8208565,19.7239398956299,0.184167072176933,r,99.0,2.0,0.0
19,2459699.8577431,19.6800918579102,0.138104528188705,r,99.0,2.0,0.0
20,2459697.9200231,20.1905994415283,0.239348992705345,g,99.0,1.0,0.0
21,2459698.9004282,20.0026111602783,0.193138808012009,r,99.0,2.0,0.0
22,2459699.8577431,19.6800918579102,0.138104528188705,r,99.0,2.0,0.0
23,2459697.9200231,20.1905994415283,0.239348992705345,g,99.0,1.0,0.0
24,2459699.8577431,19.6800918579102,0.138104528188705,r,99.0,2.0,0.0
25,2459699.8577431,19.6800918579102,0.138104528188705,r,99.0,2.0,0.0
