,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
1,2459696.9837616,20.2000999450684,0.308907985687256,r,99.0,1,0.0
2,2459696.9887847,20.2294006347656,0.277144014835358,r,99.0,1,0.0
3,2459697.9817477,20.1525001525879,0.285297006368637,r,99.0,1,0.0
4,2459697.9842708,20.2168006896973,0.233832001686096,r,99.0,1,0.0
5,2459697.9867824,20.0974006652832,0.242843002080917,r,99.0,1,0.0
6,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
7,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
8,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
9,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
10,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
11,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
12,2459696.9837616,20.2000999450684,0.308907985687256,r,99.0,1,0.0
13,2459696.9887847,20.2294006347656,0.277144014835358,r,99.0,1,0.0
14,2459697.9842708,20.2168006896973,0.233832001686096,r,99.0,1,0.0
15,2459697.9867824,20.0974006652832,0.242843002080917,r,99.0,1,0.0
16,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
17,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
18,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
19,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
20,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
21,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
22,2459696.9887847,20.2294006347656,0.277144014835358,r,99.0,1,0.0
23,2459697.9842708,20.2168006896973,0.233832001686096,r,99.0,1,0.0
24,2459697.9867824,20.0974006652832,0.242843002080917,r,99.0,1,0.0
25,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
26,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
27,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
28,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
29,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
30,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
31,2459697.9842708,20.2168006896973,0.233832001686096,r,99.0,1,0.0
32,2459697.9867824,20.0974006652832,0.242843002080917,r,99.0,1,0.0
33,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
34,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
35,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
36,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
37,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
38,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
39,2459697.9867824,20.0974006652832,0.242843002080917,r,99.0,1,0.0
40,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
41,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
42,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
43,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
44,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
45,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
46,2459697.9893056,20.2700004577637,0.392284989356995,r,99.0,1,0.0
47,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
48,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
49,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
50,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
51,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
52,2459698.9844097,19.6746997833252,0.231985002756119,r,99.0,1,0.0
53,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
54,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
55,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
56,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
57,2459699.9775231,20.3409996032715,0.260071009397507,r,99.0,1,0.0
58,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
59,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
60,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
61,2459699.9800579,20.1368999481201,0.216945007443428,r,99.0,1,0.0
62,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
63,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
64,2459699.9825926,20.0849761962891,0.190371230244637,r,99.0,1,0.0
65,2459696.9787384,19.9972991943359,0.287171989679337,r,99.0,1,0.0
