,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459689.9337963,99.0,99.0,r,19.882416828942,2.0,1.0
1,2459689.9347454,99.0,99.0,r,19.9096877372494,2.0,1.0
2,2459690.7420718,99.0,99.0,r,20.8277429656453,2.0,1.0
3,2459690.784375,99.0,99.0,g,21.1977086105496,2.0,1.0
4,2459690.7848495,99.0,99.0,g,21.1715952536494,2.0,1.0
5,2459690.8271759,99.0,99.0,r,20.985021302349,2.0,1.0
6,2459690.8453588,99.0,99.0,r,20.9975019876694,2.0,1.0
7,2459690.9283565,99.0,99.0,g,20.5893900673344,2.0,1.0
8,2459690.9295255,99.0,99.0,g,20.585882473799,2.0,1.0
9,2459690.9671528,99.0,99.0,r,20.4558508813918,2.0,1.0
10,2459693.7329745,99.0,99.0,g,20.9997702574136,2.0,1.0
11,2459693.7334491,99.0,99.0,g,20.9764383144017,2.0,1.0
12,2459693.7632639,99.0,99.0,r,21.0394338183476,2.0,1.0
13,2459693.7637384,99.0,99.0,r,20.986186772951,2.0,1.0
14,2459693.7789236,99.0,99.0,r,20.7464105495163,2.0,1.0
15,2459693.8009144,99.0,99.0,r,20.621664914694,2.0,1.0
16,2459693.8692245,99.0,99.0,i,20.0368294152136,2.0,1.0
17,2459693.8942593,99.0,99.0,i,20.2037955925096,2.0,1.0
18,2459693.9706944,99.0,99.0,g,20.4348372495913,2.0,1.0
19,2459693.971169,99.0,99.0,g,20.271777954059,2.0,1.0
20,2459694.7402546,99.0,99.0,r,20.9930971034006,2.0,1.0
21,2459694.7407407,99.0,99.0,r,21.2163079364209,2.0,1.0
22,2459694.7771528,21.1307221204505,0.271232275459314,r,20.8892544909877,2.0,1.0
23,2459694.8094329,20.913972319453,0.186408286545676,r,21.0796950723907,2.0,1.0
24,2459694.8419676,20.2601198709662,0.120066570151857,g,20.9034503984103,2.0,1.0
25,2459694.8661227,20.2849483276238,0.112249960400565,g,21.0013686255517,2.0,1.0
26,2459694.9097222,19.9550648449089,0.153090259363695,g,20.3345817369277,2.0,1.0
27,2459694.9106944,20.0536706928744,0.143946463855849,g,20.5000539804615,2.0,1.0
28,2459695.7449537,20.2543216729716,0.119087517236023,r,20.9065418593558,2.0,1.0
29,2459695.7454167,20.0865640991269,0.116890239833661,r,20.7590042639353,2.0,1.0
30,2459695.7853356,99.0,99.0,g,18.0013525680057,2.0,1.0
31,2459695.8399074,19.7919010003556,0.213775295101549,g,19.808893002899,2.0,1.0
32,2459695.8846296,99.0,99.0,g,19.2886808615048,2.0,1.0
33,2459695.9133796,99.0,99.0,r,19.3867990868153,2.0,1.0
34,2459695.9162616,20.1948373593173,0.140778614693086,r,20.6653814301821,2.0,1.0
35,2459696.7281366,19.6782153040897,0.0544179657236902,g,21.180745336281,2.0,1.0
