,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459693.8774884,99.0,99.0,i,20.4018950380312,2.0,1.0
5,2459697.8532639,19.4544457838355,0.0968739642426748,i,20.3308138925563,2.0,1.0
14,2459697.876713,19.1452617645264,0.180869206786156,r,99.0,1.0,0.0
16,2459697.936794,18.9907264709473,0.0797158852219582,g,99.0,1.0,0.0
24,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
25,2459697.876713,19.1452617645264,0.180869206786156,r,99.0,1.0,0.0
34,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
35,2459697.876713,19.1452617645264,0.180869206786156,r,99.0,1.0,0.0
43,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
44,2459697.876713,19.1452617645264,0.180869206786156,r,99.0,1.0,0.0
51,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
58,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
64,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
69,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
73,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
76,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
78,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
79,2459700.8950347,19.9236030578613,0.16029404103756,r,99.0,1.0,0.0
