,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459695.831412,99.0,99.0,i,18.4922024120579,2.0,1.0
2,2459699.899294,20.4009203022912,0.187185018485549,i,20.562128374734,2.0,1.0
8,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
9,2459695.8703009,20.6016998291016,0.253751993179321,g,99.0,1.0,0.0
10,2459697.7856019,20.7280006408691,0.256413996219635,g,99.0,1.0,0.0
11,2459697.8577083,20.642599105835,0.263940006494522,r,99.0,1.0,0.0
12,2459699.8358565,20.5034999847412,0.257425010204315,r,99.0,1.0,0.0
14,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
15,2459697.7856019,20.7280006408691,0.256413996219635,g,99.0,1.0,0.0
16,2459697.8577083,20.642599105835,0.263940006494522,r,99.0,1.0,0.0
17,2459699.8358565,20.5034999847412,0.257425010204315,r,99.0,1.0,0.0
19,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
20,2459697.8577083,20.642599105835,0.263940006494522,r,99.0,1.0,0.0
21,2459699.8358565,20.5034999847412,0.257425010204315,r,99.0,1.0,0.0
23,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
24,2459699.8358565,20.5034999847412,0.257425010204315,r,99.0,1.0,0.0
26,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
28,2459693.9198264,20.3623008728027,0.23725999891758,g,99.0,1.0,0.0
