,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459715.7504514,99.0,99.0,g,19.8314936197757,2.0,1.0
1,2459715.8154977,99.0,99.0,i,19.6283614123157,2.0,1.0
2,2459715.8173727,99.0,99.0,i,19.8618804526772,2.0,1.0
3,2459717.7628356,20.2759403282173,0.213939310275648,r,20.292099638965,2.0,1.0
4,2459717.7642593,99.0,99.0,r,20.3520876285733,2.0,1.0
5,2459717.8206597,99.0,99.0,g,20.0656797307854,2.0,1.0
6,2459718.7171528,20.4781105930698,0.186586044536882,r,20.6427984868407,2.0,1.0
7,2459718.7889236,20.5371170740398,0.223679872103864,r,20.5049355987715,2.0,1.0
8,2459718.7903588,20.4512573808408,0.182979580874256,r,20.6371365987265,2.0,1.0
9,2459718.8295949,20.5658758013223,0.226912676736701,r,20.5181146931098,2.0,1.0
10,2459718.8310185,20.7078706641287,0.256278286697042,r,20.5279769233928,2.0,1.0
11,2459718.8348495,20.7546846134197,0.268305494284191,r,20.524996487204,2.0,1.0
12,2459718.8367824,20.3908827600186,0.255096420550848,r,20.2160076372574,2.0,1.0
13,2459718.8587153,99.0,99.0,r,20.0671538254414,2.0,1.0
14,2459718.8820718,20.8402644192866,0.242008605002665,r,20.7225731876548,2.0,1.0
15,2459719.7703472,20.3699016977781,0.115843358152331,r,21.0521096401623,2.0,1.0
16,2459719.7790162,18.9972836973968,0.037240431172718,r,20.9116327349007,2.0,1.0
17,2459719.798669,20.7193165524875,0.189370147628497,r,20.8679235472291,2.0,1.0
18,2459719.8225,20.6572373335652,0.206343315002128,r,20.712647114141,2.0,1.0
19,2459719.8589815,20.3237362102599,0.182733896683286,r,20.5110742109227,2.0,1.0
20,2459719.8613426,20.5230815591759,0.201717947280581,r,20.6031059981473,2.0,1.0
21,2459719.8935648,20.6907840271224,0.235690987948089,r,20.6018123741079,2.0,1.0
22,2459719.895,20.3966271072978,0.221281498984769,r,20.3761501345569,2.0,1.0
23,2459719.9135648,20.4605937319124,0.213903952392247,r,20.4769324977904,2.0,1.0
24,2459719.9227315,99.0,99.0,r,20.2305294089508,2.0,1.0
25,2459721.8369907,20.2565312507745,0.0823372344225517,r,21.3094263507613,2.0,1.0
26,2459721.8388773,20.377202591077,0.0967981621628524,r,21.2544206007948,2.0,1.0
27,2459721.8726042,20.2751745943027,0.109049776446295,r,21.0229984343808,2.0,1.0
28,2459721.8740278,20.5330419941313,0.150526390830097,r,20.9308961615193,2.0,1.0
29,2459721.8822685,20.3766584898826,0.0995355982510158,r,21.2235982012543,2.0,1.0
30,2459721.9009144,20.4480539700922,0.121069896501208,r,21.0823493313145,2.0,1.0
31,2459722.8125694,20.422699395232,0.13739382092104,g,20.9196671807576,2.0,1.0
32,2459722.8385301,20.4987060948885,0.130306735081388,g,21.053174725491,2.0,1.0
33,2459722.8120949,20.1789174562985,0.0888129919337313,g,21.149611993319,2.0,1.0
34,2459722.8356829,20.2813021681986,0.077483363081317,g,21.4001668009475,2.0,1.0
35,2459722.8746759,20.2227161984512,0.097705128324537,g,21.0898085888752,2.0,1.0
36,2459722.8776736,20.2487898965743,0.0972594356682862,g,21.1208463223709,2.0,1.0
37,2459722.934919,20.1848529749916,0.103129916819752,g,20.9932770954176,2.0,1.0
38,2459722.9429861,20.1545958773355,0.0949448205836539,g,21.0528034710558,2.0,1.0
39,2459722.9458102,20.2990992882291,0.115069164773361,g,20.9885876753463,2.0,1.0
40,2459723.7043634,20.1330422396457,0.111607030421101,r,20.8556991466929,2.0,1.0
41,2459723.777581,20.4061842699624,0.257446933018255,i,20.2213507530133,2.0,1.0
42,2459723.7913542,99.0,99.0,i,20.501491502004,2.0,1.0
43,2459723.8101273,20.3070535317621,0.111907874863532,r,21.0267876994959,2.0,1.0
44,2459723.837338,20.4449451261599,0.113933146957353,r,21.1452056821739,2.0,1.0
45,2459723.8582176,20.2804316262903,0.0793906428315285,g,21.372894119204,2.0,1.0
46,2459723.8808333,20.1413097435492,0.0966446948531929,g,21.0202504847431,2.0,1.0
47,2459718.8577662,20.2796001434326,0.253834009170532,r,99.0,1.0,0.0
