,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459717.7355787,99.0,99.0,r,20.1069033515479,2.0,1.0
1,2459717.7647569,99.0,99.0,r,20.061793351072,2.0,1.0
2,2459717.8336111,99.0,99.0,g,19.6735341849649,2.0,1.0
3,2459718.7157407,99.0,99.0,r,20.7511995666752,2.0,1.0
4,2459718.8305324,99.0,99.0,r,20.4546049259198,2.0,1.0
5,2459718.831956,99.0,99.0,r,20.3973532842158,2.0,1.0
6,2459718.833912,99.0,99.0,r,20.3677092002425,2.0,1.0
7,2459718.8358333,99.0,99.0,r,20.4353639077283,2.0,1.0
8,2459718.8568287,99.0,99.0,r,20.369371195688,2.0,1.0
9,2459718.8811343,99.0,99.0,r,20.2650954393146,2.0,1.0
10,2459718.8968403,99.0,99.0,r,20.4953988892156,2.0,1.0
11,2459719.7771065,99.0,99.0,r,20.7109015906902,2.0,1.0
12,2459719.8201273,99.0,99.0,r,20.273340839712,2.0,1.0
13,2459719.8215509,99.0,99.0,r,20.5279929001157,2.0,1.0
14,2459719.859919,99.0,99.0,r,20.1329600484884,2.0,1.0
15,2459719.8603935,99.0,99.0,r,20.3103941669667,2.0,1.0
16,2459719.8945139,99.0,99.0,r,20.2431589653079,2.0,1.0
17,2459719.8959491,99.0,99.0,r,20.3231068429704,2.0,1.0
18,2459719.9208449,99.0,99.0,r,20.2584251825493,2.0,1.0
19,2459719.921794,99.0,99.0,r,20.2389767897528,2.0,1.0
20,2459721.8374653,20.7151637610118,0.157421694834237,r,21.0643880906312,2.0,1.0
21,2459721.8379398,20.3133279251369,0.106633037395849,r,21.0854842640446,2.0,1.0
22,2459721.8813079,20.4279179979375,0.145745124790664,r,20.86081869598,2.0,1.0
23,2459721.8999653,20.219549938876,0.131204767821625,r,20.7665616853187,2.0,1.0
24,2459722.8308333,20.1270577182226,0.0905810232093942,g,21.0763504518274,2.0,1.0
25,2459722.8366204,20.1891806902728,0.0968582531833427,g,21.0657248984179,2.0,1.0
26,2459722.837581,20.1536055766242,0.0879457692026231,g,21.1349539863669,2.0,1.0
27,2459722.855463,20.1136453950371,0.125028019725843,g,20.7130128026352,2.0,1.0
28,2459722.9155324,20.111410399746,0.12227561039325,g,20.734946590154,2.0,1.0
29,2459722.9164815,20.0750199864811,0.135855619676401,g,20.5842117562112,2.0,1.0
30,2459722.9439236,20.2430699440536,0.150855318013666,g,20.6385541713739,2.0,1.0
31,2459722.9443981,19.990671008658,0.104589433623302,g,20.7838372697599,2.0,1.0
32,2459723.7048495,19.9071387863181,0.135042637564201,r,20.4228472961112,2.0,1.0
33,2459723.7053241,20.040381924493,0.150927035975204,r,20.43535010581,2.0,1.0
34,2459723.7747338,20.0585784027551,0.255745517507779,i,19.8809441155898,2.0,1.0
35,2459723.7761574,19.8627198908096,0.162126791002056,i,20.179968713061,2.0,1.0
36,2459723.8382755,20.0145310864144,0.10389487055396,r,20.8149316097192,2.0,1.0
37,2459723.8721875,19.9039269280712,0.073235641182274,g,21.0840064966991,2.0,1.0
38,2459723.8798958,19.7660857260648,0.083758565631752,g,20.800398436589,2.0,1.0
39,2459721.8379398,20.304500579834,0.224801003932953,r,99.0,2.0,0.0
40,2459721.8813079,20.528299331665,0.292887985706329,r,99.0,2.0,0.0
41,2459722.8366204,20.1597003936768,0.208495005965233,g,99.0,2.0,0.0
42,2459722.837581,20.0962009429932,0.240758001804352,g,99.0,2.0,0.0
43,2459722.855463,20.1291007995605,0.230545997619629,g,99.0,2.0,0.0
44,2459722.9155324,20.168514251709,0.210587128996849,g,99.0,2.0,0.0
45,2459722.9164815,20.1656379699707,0.21568663418293,g,99.0,2.0,0.0
46,2459722.9439236,20.2469005584717,0.23666900396347,g,99.0,2.0,0.0
47,2459722.9443981,19.9986000061035,0.21993400156498,g,99.0,2.0,0.0
48,2459723.7048495,19.979700088501,0.227186992764473,r,99.0,2.0,0.0
49,2459723.7053241,20.0186996459961,0.339657008647919,r,99.0,2.0,0.0
50,2459723.8382755,20.0611991882324,0.28473699092865,r,99.0,2.0,0.0
51,2459723.8572801,19.9801082611084,0.214408114552498,g,99.0,1.0,0.0
52,2459723.8731366,19.8312091827393,0.178665265440941,g,99.0,1.0,0.0
53,2459723.8798958,19.765998840332,0.15229144692421,g,99.0,2.0,0.0
54,2459721.8379398,20.304500579834,0.224801003932953,r,99.0,2.0,0.0
55,2459721.8813079,20.528299331665,0.292887985706329,r,99.0,2.0,0.0
56,2459722.8366204,20.1597003936768,0.208495005965233,g,99.0,2.0,0.0
57,2459722.837581,20.0962009429932,0.240758001804352,g,99.0,2.0,0.0
58,2459722.855463,20.1291007995605,0.230545997619629,g,99.0,2.0,0.0
59,2459722.9155324,20.168514251709,0.210587128996849,g,99.0,2.0,0.0
60,2459722.9164815,20.1656379699707,0.21568663418293,g,99.0,2.0,0.0
61,2459722.9439236,20.2469005584717,0.23666900396347,g,99.0,2.0,0.0
62,2459722.9443981,19.9986000061035,0.21993400156498,g,99.0,2.0,0.0
63,2459723.7048495,19.979700088501,0.227186992764473,r,99.0,2.0,0.0
64,2459723.7053241,20.0186996459961,0.339657008647919,r,99.0,2.0,0.0
65,2459723.8382755,20.0611991882324,0.28473699092865,r,99.0,2.0,0.0
66,2459723.8572801,19.9801082611084,0.214408114552498,g,99.0,1.0,0.0
67,2459723.8798958,19.765998840332,0.15229144692421,g,99.0,2.0,0.0
68,2459721.8379398,20.304500579834,0.224801003932953,r,99.0,2.0,0.0
69,2459721.8813079,20.528299331665,0.292887985706329,r,99.0,2.0,0.0
70,2459722.8366204,20.1597003936768,0.208495005965233,g,99.0,2.0,0.0
71,2459722.837581,20.0962009429932,0.240758001804352,g,99.0,2.0,0.0
72,2459722.855463,20.1291007995605,0.230545997619629,g,99.0,2.0,0.0
73,2459722.9155324,20.168514251709,0.210587128996849,g,99.0,2.0,0.0
74,2459722.9164815,20.1656379699707,0.21568663418293,g,99.0,2.0,0.0
75,2459722.9439236,20.2469005584717,0.23666900396347,g,99.0,2.0,0.0
76,2459722.9443981,19.9986000061035,0.21993400156498,g,99.0,2.0,0.0
77,2459723.7048495,19.979700088501,0.227186992764473,r,99.0,2.0,0.0
78,2459723.7053241,20.0186996459961,0.339657008647919,r,99.0,2.0,0.0
79,2459723.8382755,20.0611991882324,0.28473699092865,r,99.0,2.0,0.0
80,2459723.8572801,19.9801082611084,0.214408114552498,g,99.0,1.0,0.0
81,2459721.8379398,20.304500579834,0.224801003932953,r,99.0,2.0,0.0
82,2459722.8366204,20.1597003936768,0.208495005965233,g,99.0,2.0,0.0
83,2459722.837581,20.0962009429932,0.240758001804352,g,99.0,2.0,0.0
84,2459722.855463,20.1291007995605,0.230545997619629,g,99.0,2.0,0.0
85,2459722.9155324,20.168514251709,0.210587128996849,g,99.0,2.0,0.0
86,2459722.9164815,20.1656379699707,0.21568663418293,g,99.0,2.0,0.0
87,2459722.9439236,20.2469005584717,0.23666900396347,g,99.0,2.0,0.0
88,2459722.9443981,19.9986000061035,0.21993400156498,g,99.0,2.0,0.0
89,2459723.7048495,19.979700088501,0.227186992764473,r,99.0,2.0,0.0
90,2459723.7053241,20.0186996459961,0.339657008647919,r,99.0,2.0,0.0
91,2459723.8382755,20.0611991882324,0.28473699092865,r,99.0,2.0,0.0
92,2459723.8572801,19.9801082611084,0.214408114552498,g,99.0,1.0,0.0
93,2459722.8366204,20.1597003936768,0.208495005965233,g,99.0,2.0,0.0
94,2459722.837581,20.0962009429932,0.240758001804352,g,99.0,2.0,0.0
