,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459717.7580787,99.0,99.0,r,20.4628350781934,2.0,1.0
1,2459718.720463,99.0,99.0,r,21.1503750018397,2.0,1.0
2,2459718.7576852,99.0,99.0,r,21.1542122394048,2.0,1.0
3,2459718.8003819,99.0,99.0,r,20.8217708888475,2.0,1.0
4,2459718.8468634,99.0,99.0,r,20.8075482126776,2.0,1.0
5,2459718.8864005,99.0,99.0,r,20.8603386474507,2.0,1.0
6,2459719.7675,20.8048982694717,0.159185304317423,r,21.1420266285207,2.0,1.0
7,2459719.8016204,20.6477937250049,0.167443635167101,r,20.9300079044027,2.0,1.0
8,2459719.8688079,99.0,99.0,r,20.4466120696266,2.0,1.0
9,2459719.8893287,99.0,99.0,r,20.734770080437,2.0,1.0
10,2459719.9255671,99.0,99.0,r,20.4592506864229,2.0,1.0
11,2459721.8410301,21.2270113338776,0.183874426267455,r,21.4075937963835,2.0,1.0
12,2459721.8697106,20.9690199587371,0.178341773349918,r,21.1827730459406,2.0,1.0
13,2459721.9047801,20.7591897629459,0.163163538646435,r,21.0695177630179,2.0,1.0
14,2459722.8088773,20.3004123407692,0.109993494029024,g,21.038880634939,2.0,1.0
15,2459722.8462153,20.1845088198475,0.0925440603480754,g,21.110523233573,2.0,1.0
16,2459722.8613542,20.3859692616002,0.103225160766987,g,21.1933911308546,2.0,1.0
17,2459722.9069676,20.5677801168376,0.139454063805753,g,21.0485879697197,2.0,1.0
18,2459722.9520139,20.5082148658728,0.124634660421103,g,21.1110035680896,2.0,1.0
19,2459723.7024537,99.0,99.0,r,20.6829026906032,2.0,1.0
20,2459723.7689468,20.5401305492638,0.117088043434956,g,21.2107349660743,2.0,1.0
21,2459723.7823148,99.0,99.0,i,20.3143163295251,2.0,1.0
22,2459723.821713,20.3633928433489,0.102945738622862,r,21.1737576975243,2.0,1.0
23,2459723.8664236,20.3852884745104,0.112448311663231,g,21.0997919156588,2.0,1.0
24,2459722.8088773,20.3251991271973,0.244634002447128,g,99.0,2.0,0.0
25,2459722.8462153,20.1602001190186,0.222558006644249,g,99.0,2.0,0.0
26,2459722.8613542,20.4869995117188,0.289627999067307,g,99.0,2.0,0.0
27,2459722.9060185,20.2054004669189,0.264135003089905,g,99.0,1.0,0.0
28,2459722.9069676,20.639799118042,0.295836985111237,g,99.0,2.0,0.0
29,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
30,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
31,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
32,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
33,2459722.8088773,20.3251991271973,0.244634002447128,g,99.0,2.0,0.0
34,2459722.8462153,20.1602001190186,0.222558006644249,g,99.0,2.0,0.0
35,2459722.8613542,20.4869995117188,0.289627999067307,g,99.0,2.0,0.0
36,2459722.9069676,20.639799118042,0.295836985111237,g,99.0,2.0,0.0
37,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
38,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
39,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
40,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
41,2459722.8462153,20.1602001190186,0.222558006644249,g,99.0,2.0,0.0
42,2459722.8613542,20.4869995117188,0.289627999067307,g,99.0,2.0,0.0
43,2459722.9069676,20.639799118042,0.295836985111237,g,99.0,2.0,0.0
44,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
45,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
46,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
47,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
48,2459722.8462153,20.1602001190186,0.222558006644249,g,99.0,2.0,0.0
49,2459722.9069676,20.639799118042,0.295836985111237,g,99.0,2.0,0.0
50,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
51,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
52,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
53,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
54,2459722.9069676,20.639799118042,0.295836985111237,g,99.0,2.0,0.0
55,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
56,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
57,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
58,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
59,2459722.9510764,20.5230007171631,0.255878001451492,g,99.0,1.0,0.0
60,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
61,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
62,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
63,2459722.9520139,20.4965991973877,0.259178996086121,g,99.0,2.0,0.0
64,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
65,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
66,2459723.7689468,20.6525993347168,0.29458299279213,g,99.0,2.0,0.0
67,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
68,2459723.821713,20.4122943878174,0.192654982209206,r,99.0,2.0,0.0
