,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459723.788044,99.0,99.0,i,20.6042057911954,2.0,1.0
1,2459726.9251505,99.0,99.0,i,20.88605545711,2.0,1.0
2,2459729.8916551,19.5765231605287,0.0530240254422834,g,21.1072272118078,2.0,1.0
3,2459729.9071644,19.5271949441563,0.0550490106714408,g,21.0172069374122,2.0,1.0
4,2459729.9510301,19.3483745791652,0.0534736198410784,r,20.8699114077349,2.0,1.0
5,2459730.7676042,19.2045662761197,0.0431702371667722,r,20.9584909787837,2.0,1.0
6,2459730.8263426,19.4575792632642,0.0367147724622529,g,21.3873629497645,2.0,1.0
7,2459730.8516667,19.436149378603,0.0573076770230673,i,20.8825031561692,2.0,1.0
8,2459730.8894213,19.3574586552437,0.0315761184978246,g,21.4509475863435,2.0,1.0
9,2459730.9099306,19.3564676198124,0.0355053491584705,r,21.3226189392942,2.0,1.0
10,2459727.8224537,19.8943996429443,0.303398996591568,r,99.0,1.0,0.0
11,2459727.8648727,20.0348644256592,0.187734350562096,g,99.0,1.0,0.0
12,2459729.8916551,19.571683883667,0.154500678181648,g,99.0,2.0,0.0
13,2459729.9071644,19.5351047515869,0.117457382380962,g,99.0,2.0,0.0
14,2459729.9510301,19.4085273742676,0.147533774375916,r,99.0,2.0,0.0
15,2459730.7676042,19.2200489044189,0.122187085449696,r,99.0,2.0,0.0
16,2459730.8263426,19.4452934265137,0.100812844932079,g,99.0,2.0,0.0
17,2459730.8516667,19.5262794494629,0.115175649523735,i,99.0,2.0,0.0
18,2459730.8670833,19.3337497711182,0.0838533490896225,g,99.0,1.0,0.0
19,2459730.8894213,19.3687858581543,0.0933544561266899,g,99.0,2.0,0.0
20,2459730.9085069,19.395881652832,0.113900512456894,r,99.0,1.0,0.0
21,2459730.9099306,19.387092590332,0.107521317899227,r,99.0,2.0,0.0
22,2459727.8648727,20.0348644256592,0.187734350562096,g,99.0,1.0,0.0
23,2459729.8916551,19.571683883667,0.154500678181648,g,99.0,2.0,0.0
24,2459729.9071644,19.5351047515869,0.117457382380962,g,99.0,2.0,0.0
25,2459729.9510301,19.4085273742676,0.147533774375916,r,99.0,2.0,0.0
