,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459723.7694097,99.0,99.0,g,21.5297548995393,2.0,1.0
1,2459723.7813657,99.0,99.0,i,20.673150283593,2.0,1.0
2,2459723.8039005,99.0,99.0,r,21.3612934009829,2.0,1.0
3,2459723.8403819,99.0,99.0,r,21.3119476354648,2.0,1.0
4,2459723.9140046,99.0,99.0,g,21.3990927590103,2.0,1.0
5,2459724.8089815,99.0,99.0,r,21.3254944173594,2.0,1.0
6,2459724.8631597,99.0,99.0,g,21.4286420144052,2.0,1.0
7,2459724.9111343,99.0,99.0,r,21.3028729477206,2.0,1.0
8,2459724.9475579,99.0,99.0,g,21.3566672548337,2.0,1.0
9,2459725.7782407,99.0,99.0,g,21.4494018653519,2.0,1.0
10,2459725.8245949,99.0,99.0,r,21.5515338630041,2.0,1.0
11,2459725.8440394,99.0,99.0,g,21.5254736977571,2.0,1.0
12,2459725.8878704,99.0,99.0,r,21.4547580758878,2.0,1.0
13,2459726.7667361,99.0,99.0,i,20.8956202830879,2.0,1.0
14,2459726.8112269,99.0,99.0,g,21.6212258388027,2.0,1.0
15,2459726.8914699,99.0,99.0,r,21.4646995736822,2.0,1.0
16,2459726.901956,99.0,99.0,r,21.5002597521434,2.0,1.0
17,2459726.9445486,21.0715703556355,0.170328860635666,g,21.3352355413666,2.0,1.0
18,2459727.7624537,99.0,99.0,r,20.3753871716273,2.0,1.0
19,2459727.8473958,20.2937560235623,0.225440266615754,g,20.2530630891994,2.0,1.0
20,2459727.8802083,20.9165845048179,0.215838076279403,r,20.9231501399912,2.0,1.0
21,2459727.9607755,21.1201431808886,0.182637959594093,g,21.3080513534008,2.0,1.0
22,2459729.8930787,20.5084175284574,0.128669063468467,g,21.0766179677702,2.0,1.0
23,2459729.9327778,20.1066635023054,0.0866728685494993,g,21.1038413655634,2.0,1.0
24,2459729.9486574,20.3201601949936,0.0981144959014636,r,21.1827130419621,2.0,1.0
25,2459730.7681019,20.2668562093932,0.0939553361474888,r,21.1764383717839,2.0,1.0
26,2459730.8244444,19.9052605797915,0.0530769745504984,g,21.4348809698691,2.0,1.0
27,2459730.8492824,20.2851012059186,0.125810108403241,i,20.8776981536164,2.0,1.0
28,2459730.8834606,19.8759553079718,0.0526613379709787,g,21.4141113743979,2.0,1.0
29,2459730.9148032,20.1047665136995,0.0597847213860566,r,21.5051767786697,2.0,1.0
