,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459725.872419,17.6900882720947,0.0419082008302212,g,99.0,1,0.0
1,2459727.8928935,18.6579856872559,0.0836066082119942,r,99.0,1,0.0
2,2459731.850162,20.1636981964111,0.194177642464638,g,99.0,1,0.0
3,2459731.8738773,19.6078300476074,0.106300294399261,r,99.0,1,0.0
4,2459725.872419,17.6900882720947,0.0419082008302212,g,99.0,1,0.0
5,2459727.8928935,18.6579856872559,0.0836066082119942,r,99.0,1,0.0
6,2459731.8738773,19.6078300476074,0.106300294399261,r,99.0,1,0.0
7,2459727.8928935,18.6579856872559,0.0836066082119942,r,99.0,1,0.0
8,2459731.8738773,19.6078300476074,0.106300294399261,r,99.0,1,0.0
9,2459731.8738773,19.6078300476074,0.106300294399261,r,99.0,1,0.0
