,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459730.7695139,99.0,99.0,r,21.2277740944679,2.0,1.0
1,2459730.8268287,99.0,99.0,g,21.5973022469214,2.0,1.0
2,2459730.8497454,99.0,99.0,i,20.8524396317369,2.0,1.0
3,2459730.8829977,99.0,99.0,g,21.428329522212,2.0,1.0
4,2459730.9066204,99.0,99.0,r,21.4491135842052,2.0,1.0
5,2459731.8060648,99.0,99.0,r,21.3331107986502,2.0,1.0
6,2459731.8327778,99.0,99.0,g,21.2286747341403,2.0,1.0
7,2459731.866331,99.0,99.0,r,21.1136074083636,2.0,1.0
8,2459731.8947454,99.0,99.0,g,21.1016742913277,2.0,1.0
9,2459732.7239352,99.0,99.0,r,21.1729772983013,2.0,1.0
10,2459732.7843056,99.0,99.0,g,21.3168781712633,2.0,1.0
11,2459732.9074884,21.4938824577726,0.264874583462171,g,21.2781675299781,2.0,1.0
12,2459733.7403588,20.9081584121396,0.172680224473905,r,21.1569376898777,2.0,1.0
13,2459733.7621181,21.1667575366039,0.191106374573758,r,21.3054553914692,2.0,1.0
14,2459733.7871991,99.0,99.0,i,20.5866162002431,2.0,1.0
15,2459733.810706,20.4152034024956,0.0849386262644616,g,21.4343261097157,2.0,1.0
16,2459733.8269792,20.5624308877618,0.0912497572557749,g,21.5037373823228,2.0,1.0
17,2459734.9076852,20.714412216708,0.222126783362017,g,20.6897956868142,2.0,1.0
18,2459734.9497569,17.1327990941229,0.0117711559972919,r,20.2976370951388,2.0,1.0
19,2459735.7638194,20.4314984968068,0.101713342394621,r,21.2549394712341,2.0,1.0
20,2459735.7833449,20.1684182758146,0.0648661889987342,g,21.4802581070944,2.0,1.0
21,2459735.8817245,20.7273511588102,0.14877480492425,r,21.1379134741921,2.0,1.0
22,2459735.9213657,20.1593287412103,0.0952580646814791,g,21.0539601455901,2.0,1.0
23,2459736.7073148,20.1635290658413,0.0994336385280661,r,21.011581525838,2.0,1.0
24,2459736.7832292,20.0479349315125,0.0750783376285832,g,21.2010341006456,2.0,1.0
25,2459736.8247338,20.525732509142,0.158849123806667,i,20.8651562391039,2.0,1.0
26,2459736.9297685,18.4468921991789,0.020071012661427,r,21.0323547760134,2.0,1.0
27,2459736.948669,20.0267882417318,0.0719340137536048,g,21.2263382967816,2.0,1.0
28,2459737.7039468,20.070731634374,0.0821185114457997,g,21.1265147525743,2.0,1.0
29,2459737.7910417,20.3869327409808,0.0963974853144293,r,21.2686542681448,2.0,1.0
30,2459737.8043403,20.1525706780246,0.0789554574170879,r,21.2510010823567,2.0,1.0
31,2459737.9035995,20.1879889049623,0.0716298952454487,g,21.3921389039819,2.0,1.0
32,2459733.810706,20.3549003601074,0.208057001233101,g,99.0,2.0,0.0
33,2459733.8269792,20.4913997650146,0.22358700633049,g,99.0,2.0,0.0
34,2459734.8229514,20.3234996795654,0.155008003115654,g,99.0,1.0,0.0
35,2459735.7833449,20.1414623260498,0.145242661237717,g,99.0,2.0,0.0
36,2459735.9213657,20.0981006622314,0.230829000473022,g,99.0,2.0,0.0
37,2459736.7832292,19.9696521759033,0.152301400899887,g,99.0,2.0,0.0
38,2459736.7991551,20.0724201202393,0.160413861274719,g,99.0,1.0,0.0
39,2459736.948669,20.1533794403076,0.169834598898888,g,99.0,2.0,0.0
40,2459737.8043403,20.2768821716309,0.177600085735321,r,99.0,2.0,0.0
41,2459733.810706,20.3549003601074,0.208057001233101,g,99.0,2.0,0.0
42,2459733.8269792,20.4913997650146,0.22358700633049,g,99.0,2.0,0.0
43,2459734.8229514,20.3234996795654,0.155008003115654,g,99.0,1.0,0.0
