,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459733.7790741,99.0,99.0,i,20.6718577118304,2.0,1.0
1,2459736.8204398,20.5428939246463,0.180483855633847,i,20.7436838134065,2.0,1.0
2,2459738.7080671,20.1264511004304,0.119200124741564,g,20.7776451148001,2.0,1.0
3,2459738.760625,20.0838812407026,0.0985206752071558,r,20.941948580805,2.0,1.0
4,2459738.8046181,20.3513417252231,0.101162193687912,r,21.1806819183417,2.0,1.0
5,2459738.8852199,20.1330753943591,0.0873437599564727,g,21.1218814749291,2.0,1.0
6,2459736.8048727,20.4657917022705,0.201296344399452,g,99.0,1.0,0.0
7,2459738.7080671,20.0825004577637,0.222565993666649,g,99.0,2.0,0.0
8,2459738.760625,20.0673007965088,0.230305999517441,r,99.0,2.0,0.0
9,2459738.8046181,20.3169002532959,0.23879399895668,r,99.0,2.0,0.0
10,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
11,2459738.8852199,20.1486186981201,0.184816792607307,g,99.0,2.0,0.0
12,2459736.8048727,20.4657917022705,0.201296344399452,g,99.0,1.0,0.0
13,2459738.7080671,20.0825004577637,0.222565993666649,g,99.0,2.0,0.0
14,2459738.760625,20.0673007965088,0.230305999517441,r,99.0,2.0,0.0
15,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
16,2459738.8852199,20.1486186981201,0.184816792607307,g,99.0,2.0,0.0
17,2459736.8048727,20.4657917022705,0.201296344399452,g,99.0,1.0,0.0
18,2459738.7080671,20.0825004577637,0.222565993666649,g,99.0,2.0,0.0
19,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
20,2459738.8852199,20.1486186981201,0.184816792607307,g,99.0,2.0,0.0
21,2459736.8048727,20.4657917022705,0.201296344399452,g,99.0,1.0,0.0
22,2459738.7080671,20.0825004577637,0.222565993666649,g,99.0,2.0,0.0
23,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
24,2459738.7080671,20.0825004577637,0.222565993666649,g,99.0,2.0,0.0
25,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
26,2459738.8842824,20.211763381958,0.19286821782589,g,99.0,1.0,0.0
