,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459733.9740625,20.0293998718262,0.272060990333557,r,99.0,1,0.0
1,2459735.980544,19.7691993713379,0.269080996513367,r,99.0,1,0.0
2,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
3,2459736.9734491,20.0006008148193,0.233621999621391,r,99.0,1,0.0
4,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
5,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
6,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
7,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
8,2459739.9690278,20.050199508667,0.233081996440887,r,99.0,1,0.0
9,2459739.9714468,19.9343814849854,0.191843509674072,r,99.0,1,0.0
10,2459733.9740625,20.0293998718262,0.272060990333557,r,99.0,1,0.0
11,2459735.980544,19.7691993713379,0.269080996513367,r,99.0,1,0.0
12,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
13,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
14,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
15,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
16,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
17,2459739.9690278,20.050199508667,0.233081996440887,r,99.0,1,0.0
18,2459739.9714468,19.9343814849854,0.191843509674072,r,99.0,1,0.0
19,2459733.9740625,20.0293998718262,0.272060990333557,r,99.0,1,0.0
20,2459735.980544,19.7691993713379,0.269080996513367,r,99.0,1,0.0
21,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
22,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
23,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
24,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
25,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
26,2459739.9714468,19.9343814849854,0.191843509674072,r,99.0,1,0.0
27,2459733.9740625,20.0293998718262,0.272060990333557,r,99.0,1,0.0
28,2459735.980544,19.7691993713379,0.269080996513367,r,99.0,1,0.0
29,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
30,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
31,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
32,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
33,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
34,2459735.980544,19.7691993713379,0.269080996513367,r,99.0,1,0.0
35,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
36,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
37,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
38,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
39,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
40,2459736.9710764,20.1567001342773,0.230864003300667,r,99.0,1,0.0
41,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
42,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
43,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
44,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
45,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
46,2459737.9759722,19.9256000518799,0.248925000429153,r,99.0,1,0.0
47,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
48,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
49,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
50,2459738.9780671,19.8684005737305,0.311156988143921,r,99.0,1,0.0
51,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
52,2459736.9758102,20.2667999267578,0.296027004718781,r,99.0,1,0.0
53,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
54,2459738.9804398,19.5445995330811,0.218361005187035,r,99.0,1,0.0
