,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459732.7885764,99.0,99.0,g,21.3672188558057,2.0,1.0
1,2459732.804294,99.0,99.0,r,21.2653756416597,2.0,1.0
2,2459732.9037037,99.0,99.0,g,21.1017234734348,2.0,1.0
3,2459733.74375,99.0,99.0,r,21.2808796556866,2.0,1.0
4,2459733.8363773,99.0,99.0,r,20.923004237939,2.0,1.0
5,2459734.7748148,99.0,99.0,i,19.998939777751,2.0,1.0
6,2459735.7876852,99.0,99.0,g,21.2766465293508,2.0,1.0
7,2459735.8014005,99.0,99.0,r,21.3163438168586,2.0,1.0
8,2459735.8752199,99.0,99.0,g,21.088167215825,2.0,1.0
9,2459736.7142708,21.2088094784993,0.249365914989953,r,21.058602540318,2.0,1.0
10,2459736.7879861,20.2996043050939,0.105652160715025,g,21.0817941358631,2.0,1.0
11,2459736.8524884,20.9525476932505,0.156112650399215,r,21.3108382398049,2.0,1.0
12,2459737.7703241,20.2191715813604,0.132616360035076,i,20.7545646116622,2.0,1.0
13,2459738.7237616,19.5557673743879,0.0755250712106631,g,20.7024253049025,2.0,1.0
14,2459738.766412,19.6449336046358,0.0753223432685279,r,20.7945098377248,2.0,1.0
15,2459738.7987963,19.6955153661915,0.0742126973322976,r,20.8612056134604,2.0,1.0
16,2459738.8805093,19.5526676470101,0.0451831341513362,g,21.2571125543782,2.0,1.0
17,2459739.7693866,19.4244201458371,0.0527744123371895,r,20.9602474199905,2.0,1.0
18,2459739.8129398,19.5465588772202,0.0633294151076275,r,20.8844309737461,2.0,1.0
19,2459739.8378009,19.2547561854751,0.0529958910311962,g,20.7860364784728,2.0,1.0
20,2459739.8812963,19.4124356140128,0.0439735552470061,g,21.1463424541028,2.0,1.0
21,2459740.8091319,19.4093879827133,0.0979085234475661,i,20.2742225191836,2.0,1.0
22,2459740.9816667,19.4345859324715,0.0923016512671497,r,20.3634480451141,2.0,1.0
23,2459741.7259606,19.0941476997756,0.0911094919645404,g,20.0371244264268,2.0,1.0
24,2459741.7740856,19.1832486145066,0.0708994081887145,r,20.3985278784558,2.0,1.0
25,2459741.8533565,19.2900989845087,0.0815603133547619,r,20.3532875594278,2.0,1.0
26,2459741.9018171,19.2515450498771,0.0760111794925631,g,20.3912371597511,2.0,1.0
27,2459736.7879861,20.2642993927002,0.219503000378609,g,99.0,2.0,0.0
28,2459737.7703241,20.2803001403809,0.289155006408691,i,99.0,2.0,0.0
29,2459738.7237616,19.5722026824951,0.172789305448532,g,99.0,2.0,0.0
30,2459738.7987963,19.7202548980713,0.149112239480019,r,99.0,2.0,0.0
31,2459738.8795718,19.6440277099609,0.119443312287331,g,99.0,1.0,0.0
32,2459738.8805093,19.5581874847412,0.140097081661224,g,99.0,2.0,0.0
33,2459739.7693866,19.4810581207275,0.134438127279282,r,99.0,2.0,0.0
34,2459739.8129398,19.6058826446533,0.158693358302116,r,99.0,2.0,0.0
35,2459739.8378009,19.2846584320068,0.131456673145294,g,99.0,2.0,0.0
36,2459739.8812963,19.4634571075439,0.124217242002487,g,99.0,2.0,0.0
37,2459740.8091319,19.4936351776123,0.158515870571136,i,99.0,2.0,0.0
38,2459740.8170949,19.5526885986328,0.193737640976906,r,99.0,1.0,0.0
39,2459740.8791551,19.3086776733398,0.112433381378651,g,99.0,1.0,0.0
40,2459740.9816667,19.5743999481201,0.243582993745804,r,99.0,2.0,0.0
41,2459741.7259606,19.085542678833,0.185375690460205,g,99.0,2.0,0.0
42,2459741.7740856,19.309928894043,0.156776800751686,r,99.0,2.0,0.0
43,2459741.9018171,19.2591342926025,0.162498459219933,g,99.0,2.0,0.0
44,2459736.7879861,20.2642993927002,0.219503000378609,g,99.0,2.0,0.0
45,2459737.7703241,20.2803001403809,0.289155006408691,i,99.0,2.0,0.0
46,2459738.7237616,19.5722026824951,0.172789305448532,g,99.0,2.0,0.0
47,2459738.8795718,19.6440277099609,0.119443312287331,g,99.0,1.0,0.0
48,2459738.8805093,19.5581874847412,0.140097081661224,g,99.0,2.0,0.0
49,2459739.7693866,19.4810581207275,0.134438127279282,r,99.0,2.0,0.0
50,2459739.8129398,19.6058826446533,0.158693358302116,r,99.0,2.0,0.0
51,2459739.8378009,19.2846584320068,0.131456673145294,g,99.0,2.0,0.0
52,2459739.8812963,19.4634571075439,0.124217242002487,g,99.0,2.0,0.0
53,2459740.8091319,19.4936351776123,0.158515870571136,i,99.0,2.0,0.0
54,2459740.8170949,19.5526885986328,0.193737640976906,r,99.0,1.0,0.0
55,2459740.8791551,19.3086776733398,0.112433381378651,g,99.0,1.0,0.0
