,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459733.7795486,20.7840664375098,0.264699749057311,i,20.5690684026553,2.0,1.0
1,2459736.8213889,20.6232851460094,0.20970193186048,i,20.6611648566427,2.0,1.0
2,2459738.7056944,20.3293662020822,0.183380886626686,g,20.5128668207602,2.0,1.0
3,2459738.7601505,20.2535085137975,0.101815320368034,r,21.0758614725558,2.0,1.0
4,2459738.8041435,19.9425540132212,0.075459764715885,r,21.0901511854786,2.0,1.0
5,2459738.8856829,20.7971764572834,0.14680366133504,g,21.2222200284435,2.0,1.0
6,2459739.7071065,99.0,99.0,g,20.7498599504559,2.0,1.0
7,2459739.7482755,20.0554778958686,0.099078969209132,r,20.9074099858233,2.0,1.0
8,2459739.8081944,19.8430661508521,0.0798946533121622,r,20.9286576485646,2.0,1.0
9,2459739.8668287,21.3059689213593,0.261442484945622,g,21.104414303619,2.0,1.0
10,2459741.8190625,19.8606797317146,0.100706075613716,r,20.6949263398064,2.0,1.0
12,2459742.7169907,20.1750687326831,0.214816826242152,i,20.1867837819766,2.0,1.0
13,2459738.7812963,19.9211158752441,0.150694862008095,r,99.0,1.0,0.0
14,2459738.8041435,19.996545791626,0.195754110813141,r,99.0,2.0,0.0
15,2459739.8081944,19.9747276306152,0.198166385293007,r,99.0,2.0,0.0
16,2459740.8472106,19.9200019836426,0.155652925372124,r,99.0,1.0,0.0
17,2459738.7812963,19.9211158752441,0.150694862008095,r,99.0,1.0,0.0
18,2459738.8041435,19.996545791626,0.195754110813141,r,99.0,2.0,0.0
19,2459740.8472106,19.9200019836426,0.155652925372124,r,99.0,1.0,0.0
20,2459738.7812963,19.9211158752441,0.150694862008095,r,99.0,1.0,0.0
21,2459738.8041435,19.996545791626,0.195754110813141,r,99.0,2.0,0.0
22,2459738.7812963,19.9211158752441,0.150694862008095,r,99.0,1.0,0.0
