,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459734.9294907,99.0,99.0,i,20.5288593604301,2.0,1.0
1,2459738.9533102,20.7791459429295,0.225566231015043,i,20.7378465245666,2.0,1.0
10,2459736.9378935,21.2651996612549,0.285111993551254,r,99.0,1.0,0.0
11,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
12,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
13,2459739.9521412,20.6125621795654,0.201533511281013,r,99.0,1.0,0.0
19,2459736.9378935,21.2651996612549,0.285111993551254,r,99.0,1.0,0.0
20,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
21,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
22,2459739.9521412,20.6125621795654,0.201533511281013,r,99.0,1.0,0.0
27,2459736.9378935,21.2651996612549,0.285111993551254,r,99.0,1.0,0.0
28,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
29,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
34,2459736.9378935,21.2651996612549,0.285111993551254,r,99.0,1.0,0.0
35,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
36,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
40,2459736.9378935,21.2651996612549,0.285111993551254,r,99.0,1.0,0.0
41,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
42,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
45,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
46,2459739.914456,20.7190799713135,0.192828595638275,g,99.0,1.0,0.0
49,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
52,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
54,2459736.9582407,20.9500999450684,0.236722007393837,g,99.0,1.0,0.0
