,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459738.7097454,15.3939237594604,0.0219963956624269,g,99.0,1,0.0
1,2459738.7702315,15.746129989624,0.0316623337566853,r,99.0,1,0.0
2,2459740.709838,16.5321102142334,0.0338134504854679,r,99.0,1,0.0
3,2459740.7511574,16.3414459228516,0.0316855907440186,g,99.0,1,0.0
4,2459738.7097454,15.3939237594604,0.0219963956624269,g,99.0,1,0.0
5,2459738.7702315,15.746129989624,0.0316623337566853,r,99.0,1,0.0
6,2459740.7511574,16.3414459228516,0.0316855907440186,g,99.0,1,0.0
7,2459738.7097454,15.3939237594604,0.0219963956624269,g,99.0,1,0.0
8,2459740.7511574,16.3414459228516,0.0316855907440186,g,99.0,1,0.0
9,2459738.7097454,15.3939237594604,0.0219963956624269,g,99.0,1,0.0
