,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459741.8734144,99.0,99.0,r,19.7473437502296,2.0,1.0
1,2459741.9046412,99.0,99.0,g,20.2952016872032,2.0,1.0
2,2459742.8169097,99.0,99.0,g,19.8950122297689,2.0,1.0
3,2459742.8794907,99.0,99.0,r,19.7710665291662,2.0,1.0
4,2459742.9339699,99.0,99.0,g,19.6623001550562,2.0,1.0
5,2459743.8321296,99.0,99.0,r,19.7879833177063,2.0,1.0
6,2459743.8513657,99.0,99.0,i,19.6626290723977,2.0,1.0
7,2459743.9038657,99.0,99.0,g,19.3894490854076,2.0,1.0
8,2459744.8903356,99.0,99.0,r,19.6392109875086,2.0,1.0
9,2459744.9258333,99.0,99.0,g,19.2509705123898,2.0,1.0
10,2459747.8519329,19.8394751829994,0.121188174389689,r,20.4727103640966,2.0,1.0
11,2459747.878125,19.9534829021308,0.190420416430939,i,20.0960849147678,2.0,1.0
12,2459747.9235417,19.972657618438,0.201629853920156,g,20.0531563188385,2.0,1.0
13,2459748.7323032,19.9868847053482,0.068953687218962,g,21.2323767581152,2.0,1.0
14,2459748.7911343,19.9066262405727,0.106314270223547,g,20.6820331236853,2.0,1.0
15,2459748.7985995,19.8874066711999,0.109715747478321,r,20.6286200446792,2.0,1.0
16,2459747.8121991,19.6450824737549,0.141814991831779,g,99.0,1.0,0.0
17,2459748.7323032,19.9548587799072,0.166005924344063,g,99.0,2.0,0.0
18,2459748.7323032,19.9548587799072,0.166005924344063,g,99.0,2.0,0.0
