,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459739.7194329,99.0,99.0,i,19.8056378808262,2.0,1.0
1,2459739.7277662,99.0,99.0,i,19.8738136786884,2.0,1.0
6,2459742.7003241,19.8509299302027,0.197167062647544,i,19.9557298031406,2.0,1.0
7,2459748.7003472,19.4202935858282,0.123173575948094,i,20.0358855000478,2.0,1.0
9,2459740.6988426,19.3194580078125,0.146335393190384,r,99.0,1.0,0.0
10,2459740.7457176,19.4409999847412,0.29892298579216,g,99.0,1.0,0.0
12,2459742.7003241,19.6912994384766,0.304818004369736,i,99.0,2.0,0.0
13,2459740.6988426,19.3194580078125,0.146335393190384,r,99.0,1.0,0.0
14,2459740.7457176,19.4409999847412,0.29892298579216,g,99.0,1.0,0.0
16,2459742.7003241,19.6912994384766,0.304818004369736,i,99.0,2.0,0.0
17,2459740.6988426,19.3194580078125,0.146335393190384,r,99.0,1.0,0.0
19,2459742.7003241,19.6912994384766,0.304818004369736,i,99.0,2.0,0.0
21,2459742.7003241,19.6912994384766,0.304818004369736,i,99.0,2.0,0.0
22,2459742.7003241,19.6912994384766,0.304818004369736,i,99.0,2.0,0.0
