,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459749.8621644,17.7264957427979,0.049619946628809,r,99.0,1,0.0
1,2459749.9241088,17.4298267364502,0.0485288128256798,g,99.0,1,0.0
2,2459751.9008796,18.3341674804688,0.0611198991537094,r,99.0,1,0.0
3,2459751.9489468,18.3645896911621,0.0622041523456573,g,99.0,1,0.0
4,2459749.9241088,17.4298267364502,0.0485288128256798,g,99.0,1,0.0
5,2459751.9008796,18.3341674804688,0.0611198991537094,r,99.0,1,0.0
6,2459751.9489468,18.3645896911621,0.0622041523456573,g,99.0,1,0.0
7,2459749.9241088,17.4298267364502,0.0485288128256798,g,99.0,1,0.0
8,2459751.9008796,18.3341674804688,0.0611198991537094,r,99.0,1,0.0
9,2459749.9241088,17.4298267364502,0.0485288128256798,g,99.0,1,0.0
