,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459751.9429051,99.0,99.0,g,20.9577806059828,2.0,1.0
1,2459752.7947917,99.0,99.0,g,21.4543886533343,2.0,1.0
2,2459752.8840278,99.0,99.0,r,21.1782849001642,2.0,1.0
3,2459753.8160417,99.0,99.0,r,21.2321929707684,2.0,1.0
4,2459753.8539005,99.0,99.0,r,21.3347202384665,2.0,1.0
5,2459755.7279514,20.7883282759915,0.243764350088081,i,20.6627885864065,2.0,1.0
6,2459755.7737963,99.0,99.0,g,21.4307982383483,2.0,1.0
7,2459755.7952778,99.0,99.0,r,21.3134604959912,2.0,1.0
8,2459755.8514815,99.0,99.0,r,21.4367051870924,2.0,1.0
9,2459755.8926505,99.0,99.0,g,21.3367007934893,2.0,1.0
10,2459756.8580208,20.796676080814,0.131188957410326,r,21.3438186683123,2.0,1.0
11,2459757.7703241,99.0,99.0,g,21.0900774875734,2.0,1.0
12,2459757.8380556,99.0,99.0,g,21.4077425515117,2.0,1.0
13,2459758.8111227,99.0,99.0,r,21.1013781429297,2.0,1.0
14,2459758.8609954,19.827587484224,0.0949815803438063,r,20.7253747951107,2.0,1.0
15,2459758.8876389,19.7107043678838,0.0761737570059866,r,20.8480767165039,2.0,1.0
16,2459759.7362963,20.840391814373,0.208359425353936,i,20.8852447259709,2.0,1.0
17,2459759.7575463,99.0,99.0,g,21.5048858899208,2.0,1.0
18,2459759.7977546,21.3072331761065,0.208691689302075,r,21.3503560787838,2.0,1.0
19,2459759.8592361,99.0,99.0,g,21.5349665798803,2.0,1.0
20,2459758.8493634,19.8839569091797,0.208180829882622,r,99.0,1.0,0.0
