,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459753.9706134,20.0888004302979,0.328209012746811,r,99.0,1,0.0
1,2459755.9707755,19.7811393737793,0.183141812682152,r,99.0,1,0.0
2,2459755.9802315,19.7621994018555,0.27182799577713,r,99.0,1,0.0
3,2459756.9729167,19.9069004058838,0.227017998695374,r,99.0,1,0.0
4,2459756.9752778,19.8480186462402,0.183073133230209,r,99.0,1,0.0
5,2459756.9776389,19.9202003479004,0.246014997363091,r,99.0,1,0.0
6,2459758.9709838,19.8334999084473,0.311883985996246,r,99.0,1,0.0
7,2459758.975706,19.5177001953125,0.241580992937088,r,99.0,1,0.0
8,2459758.9780556,19.5158996582031,0.226219996809959,r,99.0,1,0.0
9,2459759.9711921,19.8887004852295,0.227345004677773,r,99.0,1,0.0
10,2459759.9735417,20.0000915527344,0.205239653587341,r,99.0,1,0.0
11,2459759.9759028,19.8051490783691,0.184424594044685,r,99.0,1,0.0
12,2459753.9706134,20.0888004302979,0.328209012746811,r,99.0,1,0.0
13,2459755.9707755,19.7811393737793,0.183141812682152,r,99.0,1,0.0
14,2459756.9729167,19.9069004058838,0.227017998695374,r,99.0,1,0.0
15,2459756.9752778,19.8480186462402,0.183073133230209,r,99.0,1,0.0
16,2459756.9776389,19.9202003479004,0.246014997363091,r,99.0,1,0.0
17,2459758.9709838,19.8334999084473,0.311883985996246,r,99.0,1,0.0
18,2459758.975706,19.5177001953125,0.241580992937088,r,99.0,1,0.0
19,2459758.9780556,19.5158996582031,0.226219996809959,r,99.0,1,0.0
20,2459759.9711921,19.8887004852295,0.227345004677773,r,99.0,1,0.0
21,2459759.9735417,20.0000915527344,0.205239653587341,r,99.0,1,0.0
22,2459759.9759028,19.8051490783691,0.184424594044685,r,99.0,1,0.0
23,2459753.9706134,20.0888004302979,0.328209012746811,r,99.0,1,0.0
24,2459755.9707755,19.7811393737793,0.183141812682152,r,99.0,1,0.0
25,2459756.9729167,19.9069004058838,0.227017998695374,r,99.0,1,0.0
26,2459756.9776389,19.9202003479004,0.246014997363091,r,99.0,1,0.0
27,2459758.9709838,19.8334999084473,0.311883985996246,r,99.0,1,0.0
28,2459758.975706,19.5177001953125,0.241580992937088,r,99.0,1,0.0
29,2459758.9780556,19.5158996582031,0.226219996809959,r,99.0,1,0.0
30,2459759.9711921,19.8887004852295,0.227345004677773,r,99.0,1,0.0
31,2459759.9735417,20.0000915527344,0.205239653587341,r,99.0,1,0.0
32,2459759.9759028,19.8051490783691,0.184424594044685,r,99.0,1,0.0
33,2459753.9706134,20.0888004302979,0.328209012746811,r,99.0,1,0.0
