,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459750.8497569,99.0,99.0,r,20.7405853818172,2.0,1.0
1,2459750.9585069,99.0,99.0,i,20.112195009523,2.0,1.0
2,2459751.786875,99.0,99.0,r,20.8562613364894,2.0,1.0
3,2459751.7964815,99.0,99.0,i,20.744190738027,2.0,1.0
4,2459751.8233912,99.0,99.0,g,20.9917309456302,2.0,1.0
5,2459751.9030671,99.0,99.0,r,20.8208635693226,2.0,1.0
6,2459751.9453356,99.0,99.0,g,20.8721013664628,2.0,1.0
7,2459753.7902083,99.0,99.0,g,21.3343349345891,2.0,1.0
8,2459753.850081,99.0,99.0,r,21.2036007093297,2.0,1.0
9,2459753.8886921,99.0,99.0,i,20.5021147028404,2.0,1.0
10,2459753.9369329,99.0,99.0,g,20.9997121043269,2.0,1.0
11,2459753.9442014,99.0,99.0,r,21.067717811334,2.0,1.0
12,2459755.7246065,99.0,99.0,i,20.5603207240135,2.0,1.0
13,2459755.7771875,21.1524072415624,0.193644003472466,g,21.2767828985613,2.0,1.0
14,2459755.8075463,21.2900646087925,0.236411992534869,r,21.1977766395308,2.0,1.0
15,2459755.8898148,20.9575993563407,0.185915349502825,g,21.1261970269843,2.0,1.0
16,2459756.7846644,20.6906662080836,0.129197164016912,g,21.2544195455607,2.0,1.0
17,2459756.8298727,99.0,99.0,i,20.6486347966867,2.0,1.0
18,2459756.851713,20.9449064863337,0.206946660384913,r,20.9971462195798,2.0,1.0
19,2459756.8767593,21.1605796061623,0.267879401821326,r,20.9326170940556,2.0,1.0
20,2459757.7688426,21.0271221591803,0.192995549211065,g,21.1551397142933,2.0,1.0
21,2459757.7860648,20.8742856286867,0.156392421735705,g,21.2306321559126,2.0,1.0
22,2459757.8291898,20.3438815848702,0.0972537268953112,g,21.2160017412794,2.0,1.0
23,2459757.8418634,20.61838321408,0.123590786649264,g,21.2303037618987,2.0,1.0
24,2459758.8058681,20.4990968730571,0.124361363786346,r,21.1042689721261,2.0,1.0
25,2459759.738669,20.3143917325656,0.141839223619742,i,20.7767866581138,2.0,1.0
26,2459759.7406019,20.6029903440316,0.242885270319731,i,20.4813731881524,2.0,1.0
27,2459759.7597338,20.2574287409956,0.0860669579145365,g,21.2622233979569,2.0,1.0
28,2459759.8039699,20.1078999834129,0.08186252307734,r,21.1670729578392,2.0,1.0
29,2459759.8262384,20.3457200019342,0.11104268276884,r,21.0738809267639,2.0,1.0
30,2459759.8620718,20.3125104090116,0.0884174042041707,g,21.2880517967166,2.0,1.0
31,2459760.7468634,20.0250211427575,0.0696167124272339,g,21.2601231559671,2.0,1.0
32,2459760.779919,20.1195038398878,0.0941469253513673,r,21.0268742754724,2.0,1.0
33,2459755.8898148,20.9489994049072,0.262147009372711,g,99.0,2.0,0.0
34,2459756.7846644,20.6527996063232,0.225300997495651,g,99.0,2.0,0.0
35,2459757.7688426,20.9484004974365,0.321707993745804,g,99.0,2.0,0.0
36,2459757.7860648,20.8087997436523,0.260062992572784,g,99.0,2.0,0.0
37,2459757.8009491,20.6627998352051,0.293199986219406,g,99.0,1.0,0.0
38,2459757.8291898,20.3383884429932,0.181856855750084,g,99.0,2.0,0.0
39,2459757.8423264,20.7837009429932,0.290347009897232,g,99.0,1.0,0.0
40,2459758.8058681,20.4883995056152,0.210981994867325,r,99.0,2.0,0.0
41,2459759.7597338,20.2013454437256,0.179738417267799,g,99.0,2.0,0.0
42,2459759.8039699,20.1140594482422,0.152913361787796,r,99.0,2.0,0.0
43,2459759.8257639,20.2213077545166,0.191178515553474,r,99.0,1.0,0.0
44,2459759.8620718,20.305305480957,0.176634222269058,g,99.0,2.0,0.0
45,2459760.7468634,20.0282001495361,0.147296771407127,g,99.0,2.0,0.0
46,2459760.779919,20.1254024505615,0.210291996598244,r,99.0,2.0,0.0
47,2459761.7075694,19.8400211334229,0.172416523098946,r,99.0,2.0,0.0
48,2459761.7834838,19.9425830841064,0.170986741781235,g,99.0,2.0,0.0
49,2459761.8057523,19.8610134124756,0.187025055289268,g,99.0,1.0,0.0
50,2459761.8062269,19.7589435577393,0.188033610582352,g,99.0,1.0,0.0
51,2459761.8309375,19.8562316894531,0.141181364655495,g,99.0,2.0,0.0
52,2459761.8502083,19.9093742370605,0.143423169851303,r,99.0,1.0,0.0
53,2459761.8540856,19.8913021087646,0.135902643203735,r,99.0,1.0,0.0
54,2459755.8898148,20.9489994049072,0.262147009372711,g,99.0,2.0,0.0
55,2459756.7846644,20.6527996063232,0.225300997495651,g,99.0,2.0,0.0
56,2459757.7688426,20.9484004974365,0.321707993745804,g,99.0,2.0,0.0
57,2459757.7860648,20.8087997436523,0.260062992572784,g,99.0,2.0,0.0
58,2459757.8009491,20.6627998352051,0.293199986219406,g,99.0,1.0,0.0
59,2459757.8291898,20.3383884429932,0.181856855750084,g,99.0,2.0,0.0
60,2459757.8423264,20.7837009429932,0.290347009897232,g,99.0,1.0,0.0
61,2459758.8058681,20.4883995056152,0.210981994867325,r,99.0,2.0,0.0
62,2459759.7597338,20.2013454437256,0.179738417267799,g,99.0,2.0,0.0
63,2459759.8039699,20.1140594482422,0.152913361787796,r,99.0,2.0,0.0
64,2459759.8257639,20.2213077545166,0.191178515553474,r,99.0,1.0,0.0
65,2459760.7468634,20.0282001495361,0.147296771407127,g,99.0,2.0,0.0
66,2459760.779919,20.1254024505615,0.210291996598244,r,99.0,2.0,0.0
67,2459761.7075694,19.8400211334229,0.172416523098946,r,99.0,2.0,0.0
68,2459761.7834838,19.9425830841064,0.170986741781235,g,99.0,2.0,0.0
69,2459761.8057523,19.8610134124756,0.187025055289268,g,99.0,1.0,0.0
70,2459761.8062269,19.7589435577393,0.188033610582352,g,99.0,1.0,0.0
71,2459761.8309375,19.8562316894531,0.141181364655495,g,99.0,2.0,0.0
72,2459761.8502083,19.9093742370605,0.143423169851303,r,99.0,1.0,0.0
73,2459761.8540856,19.8913021087646,0.135902643203735,r,99.0,1.0,0.0
74,2459755.8898148,20.9489994049072,0.262147009372711,g,99.0,2.0,0.0
