,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459753.8539005,99.0,99.0,r,21.2704942780183,2.0,1.0
1,2459755.7279514,99.0,99.0,i,20.7829328703915,2.0,1.0
2,2459755.7737963,99.0,99.0,g,21.5017902145615,2.0,1.0
3,2459755.7952778,99.0,99.0,r,21.3322490327199,2.0,1.0
4,2459755.8514815,99.0,99.0,r,21.3220210604841,2.0,1.0
5,2459755.8926505,99.0,99.0,g,21.4233222953941,2.0,1.0
6,2459756.8580208,99.0,99.0,r,21.3469726614721,2.0,1.0
7,2459757.7703241,99.0,99.0,g,21.2174635935632,2.0,1.0
8,2459757.8380556,99.0,99.0,g,21.4899414217079,2.0,1.0
9,2459758.8111227,99.0,99.0,r,21.1354052744424,2.0,1.0
10,2459758.8609954,19.8216496521613,0.0901509534664205,r,20.7761096304392,2.0,1.0
11,2459758.8876389,19.9550786726648,0.102302270714257,r,20.772251278069,2.0,1.0
12,2459759.7362963,99.0,99.0,i,21.0109607092174,2.0,1.0
13,2459759.7575463,99.0,99.0,g,21.6009841381049,2.0,1.0
14,2459759.7977546,99.0,99.0,r,21.6095513266814,2.0,1.0
15,2459759.8592361,99.0,99.0,g,21.5382823735022,2.0,1.0
16,2459760.749375,99.0,99.0,g,21.5288886865528,2.0,1.0
17,2459760.8065856,99.0,99.0,r,21.3911380815206,2.0,1.0
18,2459760.8426968,20.0687420078166,0.0991615200339784,r,20.9197698584326,2.0,1.0
19,2459760.9016319,20.0020775663784,0.110961621786486,r,20.73103136635,2.0,1.0
20,2459761.7087037,99.0,99.0,r,21.380596350145,2.0,1.0
21,2459761.7742593,99.0,99.0,g,21.5595847298678,2.0,1.0
22,2459761.8440625,99.0,99.0,r,21.4356752549784,2.0,1.0
23,2459758.8493634,19.6136035919189,0.166358843445778,r,99.0,1.0,0.0
24,2459760.8359606,19.924352645874,0.209551110863686,r,99.0,1.0,0.0
25,2459760.8359606,19.924352645874,0.209551110863686,r,99.0,1.0,0.0
