,jd,mag,mag_unc,filter,limmag,programid,forced
4,2459756.8995486,20.5721755601657,0.193612015596751,i,20.6967305837498,2.0,1.0
5,2459756.9224306,99.0,99.0,i,21.0016715752022,2.0,1.0
15,2459759.8823495,99.0,99.0,i,20.4536818531364,2.0,1.0
16,2459759.8842361,99.0,99.0,i,20.5865149544321,2.0,1.0
25,2459758.9006829,19.9041042327881,0.194552510976791,r,99.0,1.0,0.0
26,2459758.9209028,19.7915000915527,0.210268005728722,r,99.0,1.0,0.0
28,2459760.9129745,19.9528675079346,0.164708703756332,r,99.0,1.0,0.0
30,2459758.9006829,19.9041042327881,0.194552510976791,r,99.0,1.0,0.0
32,2459760.9129745,19.9528675079346,0.164708703756332,r,99.0,1.0,0.0
34,2459758.9006829,19.9041042327881,0.194552510976791,r,99.0,1.0,0.0
35,2459760.9129745,19.9528675079346,0.164708703756332,r,99.0,1.0,0.0
37,2459758.9006829,19.9041042327881,0.194552510976791,r,99.0,1.0,0.0
