,jd,mag,mag_unc,filter,limmag,programid,forced
4,2459756.8995486,99.0,99.0,i,20.6251116554382,2.0,1.0
5,2459756.9224306,99.0,99.0,i,20.9671771104469,2.0,1.0
15,2459759.8823495,99.0,99.0,i,20.5185062970243,2.0,1.0
16,2459759.8842361,99.0,99.0,i,20.6645618908354,2.0,1.0
27,2459762.9030093,20.8802889077874,0.255782246001824,i,20.7024987055041,2.0,1.0
28,2459762.9048958,99.0,99.0,i,20.8722889589315,2.0,1.0
30,2459758.9209028,19.7605361938477,0.160353556275368,r,99.0,1.0,0.0
31,2459760.9129745,19.4899005889893,0.15718899667263,r,99.0,1.0,0.0
34,2459760.9129745,19.4899005889893,0.15718899667263,r,99.0,1.0,0.0
37,2459760.9129745,19.4899005889893,0.15718899667263,r,99.0,1.0,0.0
38,2459760.9129745,19.4899005889893,0.15718899667263,r,99.0,1.0,0.0
