,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459753.8803588,99.0,99.0,i,20.6335145584178,2.0,1.0
6,2459756.9214931,21.0117933401548,0.228367857769853,i,20.9570916843342,2.0,1.0
7,2459759.8818866,99.0,99.0,i,20.5736279891426,2.0,1.0
8,2459761.8230208,99.0,99.0,g,20.1588731574539,2.0,1.0
9,2459761.881088,99.0,99.0,r,20.6110659308293,2.0,1.0
10,2459761.9145602,21.3912916588209,0.200007397149305,r,21.4805623027308,2.0,1.0
11,2459761.9246412,99.0,99.0,g,21.3651164598698,2.0,1.0
12,2459762.8469792,99.0,99.0,g,21.2630608328257,2.0,1.0
13,2459762.8943519,21.5966267264152,0.245316505378823,r,21.4641955920575,2.0,1.0
14,2459762.9034838,99.0,99.0,i,21.0013372210713,2.0,1.0
15,2459762.92,99.0,99.0,i,20.7611796572808,2.0,1.0
16,2459762.9419213,20.8220968106005,0.222653341911311,i,20.7949095545635,2.0,1.0
17,2459763.8434375,99.0,99.0,r,21.1361010462428,2.0,1.0
18,2459763.893287,99.0,99.0,g,21.430381672288,2.0,1.0
19,2459763.9199884,99.0,99.0,r,21.3314687449404,2.0,1.0
20,2459763.9420255,99.0,99.0,g,21.4546238994958,2.0,1.0
21,2459758.9011574,19.5793991088867,0.232522994279861,r,99.0,1.0,0.0
22,2459758.9204282,19.3614711761475,0.192620024085045,r,99.0,1.0,0.0
23,2459758.9204282,19.3614711761475,0.192620024085045,r,99.0,1.0,0.0
