,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459756.9214931,20.387694597348,0.148836268025269,i,20.7978084568689,2.0,1.0
1,2459759.8818866,99.0,99.0,i,20.3992533394124,2.0,1.0
2,2459761.8230208,99.0,99.0,g,19.989912813778,2.0,1.0
3,2459761.881088,99.0,99.0,r,20.5871038753345,2.0,1.0
4,2459761.9145602,20.8641513150404,0.12558810511249,r,21.4586658346225,2.0,1.0
5,2459761.9246412,99.0,99.0,g,21.1738785088854,2.0,1.0
6,2459762.8469792,99.0,99.0,g,21.354628364509,2.0,1.0
7,2459762.8943519,21.0829714668886,0.151382866316535,r,21.4746654459639,2.0,1.0
8,2459762.9034838,20.6946677884241,0.21014266266205,i,20.7302680005485,2.0,1.0
9,2459762.92,99.0,99.0,i,20.6438109145474,2.0,1.0
10,2459762.9419213,20.2021921989635,0.124968005155656,i,20.8020808947937,2.0,1.0
11,2459763.8434375,99.0,99.0,r,21.0023601008378,2.0,1.0
12,2459763.893287,99.0,99.0,g,21.3623067035273,2.0,1.0
13,2459763.9199884,99.0,99.0,r,21.054865590294,2.0,1.0
14,2459762.9419213,20.2430019378662,0.215195119380951,i,99.0,2.0,0.0
