,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459752.7492014,99.0,99.0,i,20.2629716561893,2.0,1.0
1,2459755.6907407,18.9902823829548,0.0664124062350428,i,20.2765451326571,2.0,1.0
2,2459758.6966435,19.9598380070761,0.14468773598181,i,20.4006444936144,2.0,1.0
3,2459756.6927083,19.1751403808594,0.0901190489530563,r,99.0,1.0,0.0
4,2459758.7142361,19.3566741943359,0.135544538497925,g,99.0,1.0,0.0
5,2459758.7875116,19.7518005371094,0.248355001211166,r,99.0,1.0,0.0
6,2459760.7158102,19.81640625,0.160431832075119,g,99.0,1.0,0.0
7,2459758.7142361,19.3566741943359,0.135544538497925,g,99.0,1.0,0.0
8,2459758.7875116,19.7518005371094,0.248355001211166,r,99.0,1.0,0.0
9,2459760.7158102,19.81640625,0.160431832075119,g,99.0,1.0,0.0
10,2459758.7142361,19.3566741943359,0.135544538497925,g,99.0,1.0,0.0
11,2459760.7158102,19.81640625,0.160431832075119,g,99.0,1.0,0.0
12,2459760.7158102,19.81640625,0.160431832075119,g,99.0,1.0,0.0
