,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459756.9214931,99.0,99.0,i,20.9055994406269,2.0,1.0
3,2459759.8818866,99.0,99.0,i,20.5413968462285,2.0,1.0
4,2459761.8230208,99.0,99.0,g,19.3972439138564,2.0,1.0
5,2459761.881088,99.0,99.0,r,20.6212471210943,2.0,1.0
6,2459761.9145602,99.0,99.0,r,21.275387410515,2.0,1.0
7,2459761.9246412,99.0,99.0,g,21.0663156782228,2.0,1.0
8,2459762.8469792,99.0,99.0,g,21.3220913567628,2.0,1.0
9,2459762.8943519,99.0,99.0,r,21.3432269410771,2.0,1.0
10,2459762.9034838,99.0,99.0,i,20.7865653543607,2.0,1.0
11,2459762.92,99.0,99.0,i,20.4898074539824,2.0,1.0
12,2459762.9419213,99.0,99.0,i,20.6264251111134,2.0,1.0
13,2459763.8434375,99.0,99.0,r,21.1030263184365,2.0,1.0
14,2459763.893287,99.0,99.0,g,21.35444062899,2.0,1.0
15,2459763.9199884,99.0,99.0,r,20.9156520835483,2.0,1.0
16,2459763.9420255,99.0,99.0,g,21.1511925020871,2.0,1.0
17,2459764.8719097,99.0,99.0,r,21.1284394190753,2.0,1.0
18,2459764.8776157,99.0,99.0,r,21.2967238832626,2.0,1.0
19,2459764.902037,99.0,99.0,g,21.2888562364792,2.0,1.0
20,2459764.9196759,99.0,99.0,g,21.3550997812174,2.0,1.0
21,2459765.8632639,99.0,99.0,r,21.0893358346377,2.0,1.0
22,2459765.8779398,99.0,99.0,g,21.0228561778657,2.0,1.0
23,2459765.9203356,99.0,99.0,g,21.5228611854453,2.0,1.0
24,2459765.9400579,99.0,99.0,r,21.3228356143047,2.0,1.0
25,2459758.9011574,19.4145355224609,0.193540036678314,r,99.0,1.0,0.0
26,2459758.9204282,19.6263008117676,0.235953003168106,r,99.0,1.0,0.0
27,2459760.9125,19.4371337890625,0.203204944729805,r,99.0,1.0,0.0
28,2459758.9011574,19.4145355224609,0.193540036678314,r,99.0,1.0,0.0
29,2459760.9125,19.4371337890625,0.203204944729805,r,99.0,1.0,0.0
30,2459760.9125,19.4371337890625,0.203204944729805,r,99.0,1.0,0.0
