,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459756.9347222,99.0,99.0,i,20.7710620434544,2.0,1.0
1,2459756.9356713,99.0,99.0,i,20.5661379686884,2.0,1.0
2,2459760.9396412,19.8329282533976,0.0988877558534122,r,20.6869577395449,2.0,1.0
3,2459760.9401157,99.0,99.0,r,20.9319214245039,2.0,1.0
4,2459761.9408449,99.0,99.0,i,19.8719849007907,2.0,1.0
5,2459761.9587731,99.0,99.0,i,20.4651528313923,2.0,1.0
6,2459758.9223148,19.7092323303223,0.148539692163467,r,99.0,1.0,0.0
7,2459760.8757755,19.7811031341553,0.153634205460548,r,99.0,1.0,0.0
8,2459760.9172569,19.851001739502,0.160301879048347,r,99.0,1.0,0.0
9,2459758.9223148,19.7092323303223,0.148539692163467,r,99.0,1.0,0.0
10,2459760.8757755,19.7811031341553,0.153634205460548,r,99.0,1.0,0.0
11,2459760.8757755,19.7811031341553,0.153634205460548,r,99.0,1.0,0.0
