,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459753.8447222,99.0,99.0,r,21.337140775508,2.0,1.0
1,2459755.729375,99.0,99.0,i,20.6004483375796,2.0,1.0
2,2459755.7912616,99.0,99.0,g,21.274612225987,2.0,1.0
3,2459755.7981134,99.0,99.0,r,21.286159953434,2.0,1.0
4,2459755.8510185,99.0,99.0,r,21.3370033004381,2.0,1.0
5,2459755.8931134,99.0,99.0,g,21.219531166268,2.0,1.0
6,2459756.7556713,99.0,99.0,g,21.2879807082288,2.0,1.0
7,2459756.7995718,99.0,99.0,g,21.2474172875715,2.0,1.0
8,2459756.8545486,99.0,99.0,r,21.0653759271847,2.0,1.0
9,2459756.8584954,99.0,99.0,r,21.4040304731324,2.0,1.0
10,2459757.7557639,99.0,99.0,g,21.3162116744633,2.0,1.0
11,2459757.8385301,99.0,99.0,g,21.3450447322521,2.0,1.0
12,2459758.7908681,99.0,99.0,r,21.5051875118817,2.0,1.0
13,2459758.849838,18.1810651098003,0.0858876402425941,r,19.1881242221613,2.0,1.0
14,2459758.8881134,18.4253630218385,0.106680465648323,r,19.1970365542576,2.0,1.0
15,2459759.7353356,99.0,99.0,i,20.6017498184286,2.0,1.0
16,2459759.7561227,99.0,99.0,g,21.297964323305,2.0,1.0
17,2459759.7871412,99.0,99.0,g,21.368949802417,2.0,1.0
19,2459759.7987037,21.247860919677,0.188538994194363,r,21.4012437440048,2.0,1.0
20,2459759.8597106,99.0,99.0,g,21.3368210445921,2.0,1.0
21,2459760.7904514,99.0,99.0,r,21.4030394310004,2.0,1.0
22,2459760.8364236,18.5588299587532,0.109732339512258,r,19.2998791515168,2.0,1.0
23,2459760.9020949,18.7891110937606,0.158705487052606,r,19.1295170272838,2.0,1.0
24,2459761.7273495,99.0,99.0,r,21.1596220945992,2.0,1.0
25,2459761.7757523,99.0,99.0,g,21.5372718032969,2.0,1.0
26,2459761.843588,99.0,99.0,r,21.3033908334989,2.0,1.0
27,2459762.7129051,99.0,99.0,g,21.2510876106132,2.0,1.0
28,2459762.7551968,99.0,99.0,r,21.3094744888476,2.0,1.0
29,2459762.7777431,99.0,99.0,r,21.2473039945449,2.0,1.0
30,2459762.8129167,99.0,99.0,i,20.7321307795745,2.0,1.0
31,2459762.8193519,99.0,99.0,g,21.3676336974407,2.0,1.0
32,2459763.7139583,99.0,99.0,g,21.4473912541298,2.0,1.0
33,2459763.774375,99.0,99.0,r,20.8819273853787,2.0,1.0
34,2459763.8141782,99.0,99.0,r,21.4256515955716,2.0,1.0
35,2459763.8602894,99.0,99.0,g,21.3456954401308,2.0,1.0
36,2459764.7543519,99.0,99.0,r,21.4143294752585,2.0,1.0
37,2459764.806956,99.0,99.0,r,21.2958812817008,2.0,1.0
38,2459764.8188773,99.0,99.0,g,21.4565420730574,2.0,1.0
39,2459764.8420023,21.5481789248329,0.225716114558595,g,21.5061582994593,2.0,1.0
40,2459765.7278241,99.0,99.0,r,21.177259975745,2.0,1.0
41,2459765.7897917,99.0,99.0,g,21.4485284961707,2.0,1.0
42,2459765.7981481,99.0,99.0,i,20.5287366629625,2.0,1.0
43,2459765.8242477,99.0,99.0,r,21.4693381642365,2.0,1.0
44,2459765.884213,99.0,99.0,g,21.2234072882939,2.0,1.0
45,2459758.849838,18.2042007446289,0.166279003024101,r,99.0,2.0,0.0
