,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459763.9628588,18.3711566925049,0.0604467391967773,r,99.0,1,0.0
1,2459763.9653704,18.3838787078857,0.0556189008057117,r,99.0,1,0.0
2,2459763.9679051,18.3866481781006,0.0738947242498398,r,99.0,1,0.0
3,2459763.9704282,18.3160495758057,0.0768678709864616,r,99.0,1,0.0
4,2459763.972963,18.2886486053467,0.0670519769191742,r,99.0,1,0.0
5,2459764.9620486,18.1978530883789,0.055683322250843,r,99.0,1,0.0
6,2459764.9645718,18.1803569793701,0.0544269382953644,r,99.0,1,0.0
7,2459764.9670833,18.199369430542,0.0591695979237556,r,99.0,1,0.0
8,2459764.9695949,18.1851215362549,0.0455871745944023,r,99.0,1,0.0
9,2459764.9721181,18.2075004577637,0.0564226433634758,r,99.0,1,0.0
10,2459765.9623727,18.5131378173828,0.0743243247270584,r,99.0,1,0.0
11,2459765.9648611,18.4687213897705,0.0635224133729935,r,99.0,1,0.0
12,2459765.967338,18.5075168609619,0.0513683743774891,r,99.0,1,0.0
13,2459765.9698148,18.4819469451904,0.0641613751649857,r,99.0,1,0.0
14,2459765.9723032,18.4942474365234,0.0670085102319717,r,99.0,1,0.0
15,2459763.9628588,18.3711566925049,0.0604467391967773,r,99.0,1,0.0
16,2459763.9653704,18.3838787078857,0.0556189008057117,r,99.0,1,0.0
17,2459763.9679051,18.3866481781006,0.0738947242498398,r,99.0,1,0.0
18,2459763.9704282,18.3160495758057,0.0768678709864616,r,99.0,1,0.0
19,2459763.972963,18.2886486053467,0.0670519769191742,r,99.0,1,0.0
20,2459764.9620486,18.1978530883789,0.055683322250843,r,99.0,1,0.0
21,2459764.9645718,18.1803569793701,0.0544269382953644,r,99.0,1,0.0
22,2459764.9670833,18.199369430542,0.0591695979237556,r,99.0,1,0.0
23,2459764.9695949,18.1851215362549,0.0455871745944023,r,99.0,1,0.0
24,2459764.9721181,18.2075004577637,0.0564226433634758,r,99.0,1,0.0
25,2459765.9623727,18.5131378173828,0.0743243247270584,r,99.0,1,0.0
26,2459765.9648611,18.4687213897705,0.0635224133729935,r,99.0,1,0.0
27,2459765.967338,18.5075168609619,0.0513683743774891,r,99.0,1,0.0
28,2459765.9723032,18.4942474365234,0.0670085102319717,r,99.0,1,0.0
29,2459763.9628588,18.3711566925049,0.0604467391967773,r,99.0,1,0.0
30,2459763.9653704,18.3838787078857,0.0556189008057117,r,99.0,1,0.0
31,2459763.9679051,18.3866481781006,0.0738947242498398,r,99.0,1,0.0
32,2459763.9704282,18.3160495758057,0.0768678709864616,r,99.0,1,0.0
33,2459763.972963,18.2886486053467,0.0670519769191742,r,99.0,1,0.0
34,2459764.9620486,18.1978530883789,0.055683322250843,r,99.0,1,0.0
35,2459764.9645718,18.1803569793701,0.0544269382953644,r,99.0,1,0.0
36,2459764.9670833,18.199369430542,0.0591695979237556,r,99.0,1,0.0
37,2459764.9695949,18.1851215362549,0.0455871745944023,r,99.0,1,0.0
38,2459764.9721181,18.2075004577637,0.0564226433634758,r,99.0,1,0.0
39,2459765.9623727,18.5131378173828,0.0743243247270584,r,99.0,1,0.0
40,2459765.9648611,18.4687213897705,0.0635224133729935,r,99.0,1,0.0
41,2459765.967338,18.5075168609619,0.0513683743774891,r,99.0,1,0.0
42,2459763.9628588,18.3711566925049,0.0604467391967773,r,99.0,1,0.0
43,2459763.9653704,18.3838787078857,0.0556189008057117,r,99.0,1,0.0
44,2459763.9679051,18.3866481781006,0.0738947242498398,r,99.0,1,0.0
45,2459763.972963,18.2886486053467,0.0670519769191742,r,99.0,1,0.0
46,2459764.9620486,18.1978530883789,0.055683322250843,r,99.0,1,0.0
47,2459764.9645718,18.1803569793701,0.0544269382953644,r,99.0,1,0.0
48,2459764.9670833,18.199369430542,0.0591695979237556,r,99.0,1,0.0
49,2459764.9695949,18.1851215362549,0.0455871745944023,r,99.0,1,0.0
50,2459764.9721181,18.2075004577637,0.0564226433634758,r,99.0,1,0.0
51,2459765.9623727,18.5131378173828,0.0743243247270584,r,99.0,1,0.0
52,2459765.9648611,18.4687213897705,0.0635224133729935,r,99.0,1,0.0
53,2459765.967338,18.5075168609619,0.0513683743774891,r,99.0,1,0.0
