,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459755.7274653,99.0,99.0,i,20.8313798323274,2.0,1.0
1,2459755.7869907,99.0,99.0,g,21.1516288527769,2.0,1.0
2,2459755.8128704,99.0,99.0,r,21.4544105406223,2.0,1.0
3,2459755.8500694,99.0,99.0,r,21.5897129874921,2.0,1.0
4,2459755.8917014,99.0,99.0,g,21.2272190813965,2.0,1.0
5,2459756.8019329,99.0,99.0,g,21.2845662139228,2.0,1.0
6,2459756.8535995,99.0,99.0,r,21.3777576049288,2.0,1.0
7,2459757.7498843,99.0,99.0,g,21.1246295100956,2.0,1.0
8,2459757.790787,99.0,99.0,g,21.1448401805883,2.0,1.0
9,2459757.8325,99.0,99.0,g,21.4867272294968,2.0,1.0
10,2459757.8394792,99.0,99.0,g,21.4896325201847,2.0,1.0
11,2459758.8091782,99.0,99.0,r,21.5369391759587,2.0,1.0
12,2459758.8415278,18.7685184308544,0.0716420287811799,r,19.9724845303535,2.0,1.0
13,2459758.8890509,18.630794426438,0.0796317780328534,r,19.7199641834272,2.0,1.0
14,2459759.7367824,99.0,99.0,i,20.868584409382,2.0,1.0
15,2459759.7697917,99.0,99.0,g,21.3562821565401,2.0,1.0
16,2459759.7783333,99.0,99.0,g,21.3013591535054,2.0,1.0
17,2459759.7918634,99.0,99.0,g,21.6159003287626,2.0,1.0
18,2459759.8001157,99.0,99.0,r,21.5312575228814,2.0,1.0
19,2459760.7774306,21.0361499121921,0.175130078730314,r,21.2696338440026,2.0,1.0
20,2459760.9025694,19.0874283720403,0.103357292451838,r,19.8934613510829,2.0,1.0
21,2459761.7776389,99.0,99.0,g,21.6058269728094,2.0,1.0
22,2459761.8328125,99.0,99.0,g,21.5057198955897,2.0,1.0
23,2459761.8617477,99.0,99.0,r,21.5543427063412,2.0,1.0
24,2459762.6918056,99.0,99.0,g,21.1953851906429,2.0,1.0
25,2459762.7805787,20.8276706441912,0.12108407141033,r,21.4618388944504,2.0,1.0
26,2459762.8114931,99.0,99.0,i,20.8714195235916,2.0,1.0
27,2459762.8212847,99.0,99.0,g,21.243572715751,2.0,1.0
28,2459763.7757986,99.0,99.0,r,21.0111311361292,2.0,1.0
29,2459763.8146528,99.0,99.0,r,21.6176371420751,2.0,1.0
30,2459763.8631134,99.0,99.0,g,21.219732023355,2.0,1.0
31,2459764.7381366,99.0,99.0,g,21.1294990248258,2.0,1.0
32,2459764.796713,99.0,99.0,r,21.5418776624389,2.0,1.0
33,2459764.8221991,99.0,99.0,g,21.4160474166037,2.0,1.0
34,2459764.8610532,99.0,99.0,r,21.2051115331062,2.0,1.0
35,2459765.7272917,99.0,99.0,r,21.479273188964,2.0,1.0
36,2459765.787419,99.0,99.0,g,21.4374425314045,2.0,1.0
37,2459765.7995718,99.0,99.0,i,20.8615728120749,2.0,1.0
38,2459765.8251968,99.0,99.0,r,21.7027765299558,2.0,1.0
39,2459765.885625,99.0,99.0,g,21.1760277308249,2.0,1.0
40,2459766.7617824,99.0,99.0,r,21.2644560865069,2.0,1.0
41,2459766.7972685,99.0,99.0,g,21.3297405423238,2.0,1.0
42,2459766.8259375,21.5513418175432,0.217061167974834,g,21.5517722677438,2.0,1.0
43,2459766.8478935,99.0,99.0,r,21.6509555415987,2.0,1.0
44,2459758.8415278,18.7879943847656,0.154649168252945,r,99.0,2.0,0.0
45,2459758.8890509,18.6853485107422,0.136438757181168,r,99.0,2.0,0.0
46,2459758.8415278,18.7879943847656,0.154649168252945,r,99.0,2.0,0.0
