,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459756.8990741,20.8106264339582,0.228966713905825,i,20.7530813449045,2.0,1.0
4,2459756.9229051,99.0,99.0,i,20.8247998149219,2.0,1.0
12,2459759.8828241,99.0,99.0,i,20.5637032043373,2.0,1.0
13,2459759.8837731,99.0,99.0,i,20.5819820724278,2.0,1.0
22,2459762.9025347,20.9120986863363,0.249786161579838,i,20.7600635396118,2.0,1.0
23,2459762.9053704,99.0,99.0,i,20.8485889146053,2.0,1.0
39,2459766.9413657,99.0,99.0,i,20.3812949484301,2.0,1.0
40,2459766.9546181,99.0,99.0,i,20.6035451893139,2.0,1.0
41,2459758.9002199,19.8336334228516,0.189955651760101,r,99.0,1.0,0.0
42,2459758.9213657,19.7497005462646,0.161796003580093,r,99.0,1.0,0.0
43,2459760.8953009,19.5407962799072,0.161914482712746,r,99.0,1.0,0.0
44,2459758.9002199,19.8336334228516,0.189955651760101,r,99.0,1.0,0.0
45,2459760.8953009,19.5407962799072,0.161914482712746,r,99.0,1.0,0.0
46,2459760.8953009,19.5407962799072,0.161914482712746,r,99.0,1.0,0.0
