,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459753.9359606,99.0,99.0,g,21.0771166871292,2.0,1.0
1,2459753.9446759,99.0,99.0,r,20.8767828474111,2.0,1.0
2,2459755.777662,99.0,99.0,g,21.3732905861965,2.0,1.0
3,2459755.8070718,99.0,99.0,r,21.1263865744766,2.0,1.0
4,2459755.8210648,99.0,99.0,r,21.2906192382956,2.0,1.0
6,2459755.867581,99.0,99.0,r,21.2352688013431,2.0,1.0
7,2459755.8888426,99.0,99.0,g,21.3816207671926,2.0,1.0
8,2459756.7851389,99.0,99.0,g,21.3112234133449,2.0,1.0
9,2459756.8246412,99.0,99.0,i,20.9104263903675,2.0,1.0
10,2459756.8512384,99.0,99.0,r,20.9433315282118,2.0,1.0
11,2459756.8777315,99.0,99.0,r,21.1743813197888,2.0,1.0
12,2459756.946412,99.0,99.0,g,21.073600471709,2.0,1.0
13,2459757.748912,99.0,99.0,g,21.3430886796536,2.0,1.0
14,2459757.7865278,99.0,99.0,g,21.3299592918135,2.0,1.0
15,2459757.8675231,99.0,99.0,g,21.3427065008411,2.0,1.0
16,2459757.9095023,99.0,99.0,g,21.0764122989145,2.0,1.0
17,2459758.8053935,99.0,99.0,r,21.2697351251563,2.0,1.0
18,2459758.8590046,20.6851201668267,0.203324691846113,r,20.7565306490013,2.0,1.0
19,2459758.880544,20.1890961930264,0.148051065742625,r,20.6049531371261,2.0,1.0
20,2459759.7602083,99.0,99.0,g,21.3617420208706,2.0,1.0
21,2459759.8044444,99.0,99.0,r,21.2874812722606,2.0,1.0
22,2459759.8248264,99.0,99.0,r,21.3516613067033,2.0,1.0
23,2459759.863044,99.0,99.0,g,21.3056532333221,2.0,1.0
24,2459759.8952315,99.0,99.0,i,20.7012491871054,2.0,1.0
25,2459760.7463889,99.0,99.0,g,21.4119621915765,2.0,1.0
26,2459760.8005556,99.0,99.0,r,21.4430157275059,2.0,1.0
27,2459760.8387037,20.8316516141215,0.207079549609237,r,20.8831943738739,2.0,1.0
28,2459760.9058912,20.1608121451492,0.124951059758386,r,20.7608480744956,2.0,1.0
29,2459761.723287,99.0,99.0,r,21.184455347893,2.0,1.0
30,2459761.7628588,99.0,99.0,g,21.4277113715663,2.0,1.0
31,2459761.830463,99.0,99.0,g,21.427461813897,2.0,1.0
32,2459761.8643634,99.0,99.0,r,21.1953447366219,2.0,1.0
34,2459762.7872685,99.0,99.0,r,21.1610185607803,2.0,1.0
35,2459762.8029282,99.0,99.0,i,20.8684096714825,2.0,1.0
36,2459762.8261343,99.0,99.0,g,21.3514299591216,2.0,1.0
37,2459762.8559606,99.0,99.0,g,21.3532010652204,2.0,1.0
38,2459762.8858912,99.0,99.0,r,21.1855727092947,2.0,1.0
39,2459763.8119676,99.0,99.0,r,21.1618420104196,2.0,1.0
40,2459763.8537037,99.0,99.0,r,21.1314031256069,2.0,1.0
41,2459763.8689236,99.0,99.0,g,21.1795047784403,2.0,1.0
42,2459763.9049653,99.0,99.0,g,21.1938311720554,2.0,1.0
43,2459764.802662,99.0,99.0,r,21.1193163978726,2.0,1.0
44,2459764.8260995,99.0,99.0,g,21.3706893356608,2.0,1.0
45,2459764.8629861,99.0,99.0,r,21.0168138373294,2.0,1.0
46,2459764.905162,99.0,99.0,g,21.3124911250533,2.0,1.0
47,2459765.7822222,99.0,99.0,g,21.4037980702182,2.0,1.0
48,2459765.8100347,99.0,99.0,i,20.7857673533424,2.0,1.0
49,2459765.869919,99.0,99.0,r,21.2496467379883,2.0,1.0
50,2459765.9039583,99.0,99.0,g,21.307993898453,2.0,1.0
51,2459766.7555671,99.0,99.0,r,21.3821425331371,2.0,1.0
52,2459766.8044907,99.0,99.0,g,21.3418448860349,2.0,1.0
53,2459766.8690394,99.0,99.0,r,21.2842976269624,2.0,1.0
54,2459766.9021412,99.0,99.0,g,21.2414671526353,2.0,1.0
55,2459758.880544,20.1426849365234,0.208265200257301,r,99.0,2.0,0.0
