,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459753.8836574,99.0,99.0,i,20.2077516488575,2.0,1.0
1,2459753.9031829,99.0,99.0,i,20.6079890939484,2.0,1.0
12,2459756.9247917,99.0,99.0,i,20.8059991053859,2.0,1.0
13,2459756.9252662,99.0,99.0,i,21.0130383646191,2.0,1.0
24,2459759.8865972,99.0,99.0,i,20.5233911620993,2.0,1.0
25,2459759.8870718,99.0,99.0,i,20.3063191427614,2.0,1.0
36,2459762.9072569,99.0,99.0,i,21.0390800946971,2.0,1.0
37,2459762.9077315,20.3101026627148,0.136727715298914,i,20.8123470596557,2.0,1.0
46,2459766.9560301,99.0,99.0,i,20.2907425454148,2.0,1.0
47,2459766.9574769,99.0,99.0,i,20.7523187755975,2.0,1.0
