,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459763.9754745,19.0786476135254,0.138662621378899,r,99.0,1,0.0
1,2459763.9778472,18.9275569915771,0.159264236688614,r,99.0,1,0.0
2,2459763.982581,18.9836540222168,0.202566459774971,r,99.0,1,0.0
3,2459764.9768981,19.3623142242432,0.212705627083778,r,99.0,1,0.0
4,2459763.9778472,18.9275569915771,0.159264236688614,r,99.0,1,0.0
5,2459763.982581,18.9836540222168,0.202566459774971,r,99.0,1,0.0
6,2459764.9768981,19.3623142242432,0.212705627083778,r,99.0,1,0.0
7,2459763.9778472,18.9275569915771,0.159264236688614,r,99.0,1,0.0
8,2459763.982581,18.9836540222168,0.202566459774971,r,99.0,1,0.0
9,2459763.9778472,18.9275569915771,0.159264236688614,r,99.0,1,0.0
