,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459762.9129282,99.0,99.0,i,20.8734890230753,2.0,1.0
1,2459766.9492824,99.0,99.0,i,20.3932659015458,2.0,1.0
2,2459769.8943287,20.0791879703914,0.0745234278302748,g,21.2403417025127,2.0,1.0
3,2459770.84375,19.8682083545032,0.10551659707883,g,20.6517922017891,2.0,1.0
4,2459772.7754514,19.3873102505816,0.0757293584786606,r,20.5310353451012,2.0,1.0
5,2459768.8682755,20.121509552002,0.211602821946144,g,99.0,1.0,0.0
6,2459768.8906597,20.129337310791,0.190477892756462,g,99.0,1.0,0.0
7,2459768.9247685,20.1269836425781,0.157064899802208,g,99.0,1.0,0.0
8,2459768.9252431,20.1720314025879,0.196518003940582,g,99.0,1.0,0.0
9,2459769.8943287,20.0382823944092,0.204575151205063,g,99.0,2.0,0.0
10,2459770.8866435,19.8349609375,0.168059647083282,g,99.0,1.0,0.0
11,2459770.9328935,19.8879489898682,0.131524592638016,g,99.0,1.0,0.0
12,2459770.9559375,19.8792762756348,0.14745831489563,g,99.0,1.0,0.0
13,2459770.84375,19.7924003601074,0.225023001432419,g,99.0,2.0,0.0
14,2459772.7754514,19.4326515197754,0.163798213005066,r,99.0,2.0,0.0
15,2459772.8439352,19.5146141052246,0.172157257795334,r,99.0,1.0,0.0
16,2459772.9269907,19.5072326660156,0.184889748692513,r,99.0,1.0,0.0
17,2459768.8682755,20.121509552002,0.211602821946144,g,99.0,1.0,0.0
18,2459768.8906597,20.129337310791,0.190477892756462,g,99.0,1.0,0.0
19,2459768.9247685,20.1269836425781,0.157064899802208,g,99.0,1.0,0.0
20,2459768.9252431,20.1720314025879,0.196518003940582,g,99.0,1.0,0.0
21,2459769.8943287,20.0382823944092,0.204575151205063,g,99.0,2.0,0.0
22,2459770.8866435,19.8349609375,0.168059647083282,g,99.0,1.0,0.0
23,2459770.9328935,19.8879489898682,0.131524592638016,g,99.0,1.0,0.0
24,2459770.84375,19.7924003601074,0.225023001432419,g,99.0,2.0,0.0
25,2459772.7754514,19.4326515197754,0.163798213005066,r,99.0,2.0,0.0
26,2459772.8439352,19.5146141052246,0.172157257795334,r,99.0,1.0,0.0
27,2459772.9269907,19.5072326660156,0.184889748692513,r,99.0,1.0,0.0
28,2459768.8682755,20.121509552002,0.211602821946144,g,99.0,1.0,0.0
29,2459768.8906597,20.129337310791,0.190477892756462,g,99.0,1.0,0.0
30,2459768.9247685,20.1269836425781,0.157064899802208,g,99.0,1.0,0.0
31,2459768.9252431,20.1720314025879,0.196518003940582,g,99.0,1.0,0.0
32,2459769.8943287,20.0382823944092,0.204575151205063,g,99.0,2.0,0.0
33,2459770.8866435,19.8349609375,0.168059647083282,g,99.0,1.0,0.0
34,2459770.9328935,19.8879489898682,0.131524592638016,g,99.0,1.0,0.0
35,2459772.7754514,19.4326515197754,0.163798213005066,r,99.0,2.0,0.0
36,2459772.8439352,19.5146141052246,0.172157257795334,r,99.0,1.0,0.0
37,2459772.9269907,19.5072326660156,0.184889748692513,r,99.0,1.0,0.0
38,2459768.8682755,20.121509552002,0.211602821946144,g,99.0,1.0,0.0
39,2459768.8906597,20.129337310791,0.190477892756462,g,99.0,1.0,0.0
40,2459768.9247685,20.1269836425781,0.157064899802208,g,99.0,1.0,0.0
41,2459769.8943287,20.0382823944092,0.204575151205063,g,99.0,2.0,0.0
42,2459770.8866435,19.8349609375,0.168059647083282,g,99.0,1.0,0.0
43,2459770.9328935,19.8879489898682,0.131524592638016,g,99.0,1.0,0.0
44,2459772.7754514,19.4326515197754,0.163798213005066,r,99.0,2.0,0.0
45,2459772.8439352,19.5146141052246,0.172157257795334,r,99.0,1.0,0.0
46,2459772.9269907,19.5072326660156,0.184889748692513,r,99.0,1.0,0.0
47,2459768.8682755,20.121509552002,0.211602821946144,g,99.0,1.0,0.0
48,2459768.8906597,20.129337310791,0.190477892756462,g,99.0,1.0,0.0
49,2459769.8943287,20.0382823944092,0.204575151205063,g,99.0,2.0,0.0
50,2459770.8866435,19.8349609375,0.168059647083282,g,99.0,1.0,0.0
51,2459770.9328935,19.8879489898682,0.131524592638016,g,99.0,1.0,0.0
52,2459772.7754514,19.4326515197754,0.163798213005066,r,99.0,2.0,0.0
