,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459764.8121991,19.2175559997559,0.0992366150021553,r,99.0,1,0.0
1,2459764.8155324,19.3822154998779,0.106914840638638,g,99.0,1,0.0
2,2459766.7709144,19.6675586700439,0.154976397752762,r,99.0,1,0.0
3,2459766.7934838,20.0486488342285,0.172492817044258,g,99.0,1,0.0
4,2459764.8121991,19.2175559997559,0.0992366150021553,r,99.0,1,0.0
5,2459764.8155324,19.3822154998779,0.106914840638638,g,99.0,1,0.0
6,2459766.7709144,19.6675586700439,0.154976397752762,r,99.0,1,0.0
7,2459764.8155324,19.3822154998779,0.106914840638638,g,99.0,1,0.0
8,2459766.7709144,19.6675586700439,0.154976397752762,r,99.0,1,0.0
9,2459764.8155324,19.3822154998779,0.106914840638638,g,99.0,1,0.0
