,jd,mag,mag_unc,filter,limmag,programid,forced
3,2459768.7104745,99.0,99.0,g,20.9638173409318,2.0,1.0
4,2459768.7360532,99.0,99.0,g,20.5347515606954,2.0,1.0
6,2459769.7103472,20.7190991205854,0.257485787521346,g,20.5341017541114,2.0,1.0
7,2459769.7108218,20.7014692494608,0.232254825870015,g,20.6284431718563,2.0,1.0
11,2459770.7325926,99.0,99.0,g,20.3845620037307,2.0,1.0
13,2459771.6893171,20.1753211780975,0.181269854980537,g,20.3713929989265,2.0,1.0
14,2459771.6902546,19.9991561554716,0.185756443610912,g,20.1686822252765,2.0,1.0
19,2459772.7539815,19.6433641506178,0.108290988723251,r,20.3987691423424,2.0,1.0
20,2459772.7687037,19.9312085248341,0.152925752209082,r,20.3118927504835,2.0,1.0
21,2459772.8306944,20.2472056512546,0.150487750022781,r,20.6453385678309,2.0,1.0
23,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
24,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
25,2459772.7539815,19.7530212402344,0.206136658787727,r,99.0,2.0,0.0
26,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
27,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
29,2459773.7358333,19.4931583404541,0.174642041325569,r,99.0,1.0,0.0
30,2459773.77,19.5020160675049,0.17688076198101,r,99.0,2.0,0.0
32,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
34,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
35,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
36,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
37,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
39,2459773.7358333,19.4931583404541,0.174642041325569,r,99.0,1.0,0.0
40,2459773.77,19.5020160675049,0.17688076198101,r,99.0,2.0,0.0
42,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
44,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
45,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
46,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
47,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
48,2459773.7358333,19.4931583404541,0.174642041325569,r,99.0,1.0,0.0
49,2459773.77,19.5020160675049,0.17688076198101,r,99.0,2.0,0.0
51,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
53,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
54,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
55,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
56,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
57,2459773.77,19.5020160675049,0.17688076198101,r,99.0,2.0,0.0
59,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
61,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
62,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
63,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
64,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
66,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
68,2459769.7103472,20.5778999328613,0.38443198800087,g,99.0,2.0,0.0
69,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
70,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
71,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
72,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
74,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
75,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
76,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
77,2459773.7739583,19.7155990600586,0.237588003277779,r,99.0,2.0,0.0
79,2459771.6893171,20.0501003265381,0.283481001853943,g,99.0,2.0,0.0
80,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
81,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
83,2459772.7687037,19.9794998168945,0.285061985254288,r,99.0,2.0,0.0
84,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
86,2459773.7166435,19.6996364593506,0.151038140058517,r,99.0,1.0,0.0
