,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459769.7131713,99.0,99.0,g,20.846028416041,2.0,1.0
1,2459769.7223148,99.0,99.0,g,20.7801148937796,2.0,1.0
2,2459769.7702894,99.0,99.0,g,20.7315718416788,2.0,1.0
3,2459769.8024306,99.0,99.0,g,20.8138153274958,2.0,1.0
4,2459769.8724653,99.0,99.0,g,21.066735362636,2.0,1.0
5,2459770.7335417,99.0,99.0,g,20.4747937818028,2.0,1.0
6,2459770.7340162,99.0,99.0,g,20.3474011901956,2.0,1.0
7,2459770.7696065,99.0,99.0,g,20.5574537428804,2.0,1.0
8,2459770.7997106,99.0,99.0,g,20.7759253833277,2.0,1.0
9,2459770.8634144,99.0,99.0,g,20.5607451044232,2.0,1.0
10,2459771.7057523,99.0,99.0,g,20.2979287765362,2.0,1.0
11,2459771.7686921,99.0,99.0,g,20.5126183452724,2.0,1.0
12,2459771.8047106,99.0,99.0,g,20.6080897954881,2.0,1.0
13,2459771.8315972,99.0,99.0,g,20.5103723290528,2.0,1.0
14,2459771.8677778,99.0,99.0,g,20.3999861969812,2.0,1.0
15,2459772.7174884,99.0,99.0,r,20.3048895873607,2.0,1.0
16,2459772.7682292,99.0,99.0,r,20.4308256306457,2.0,1.0
17,2459772.7872338,99.0,99.0,r,20.7070033195557,2.0,1.0
18,2459772.840463,99.0,99.0,r,20.5134285631868,2.0,1.0
19,2459772.9027199,99.0,99.0,r,20.0066627927717,2.0,1.0
20,2459773.7363542,99.0,99.0,r,20.5505481301912,2.0,1.0
21,2459773.7906481,99.0,99.0,r,20.0957590628812,2.0,1.0
22,2459773.7911227,99.0,99.0,r,20.228545708016,2.0,1.0
23,2459773.8192708,99.0,99.0,r,20.3386163433017,2.0,1.0
24,2459773.8752546,99.0,99.0,r,19.9885399848271,2.0,1.0
25,2459774.6878125,99.0,99.0,r,20.5305482967087,2.0,1.0
26,2459774.7486921,99.0,99.0,r,20.4234696717551,2.0,1.0
27,2459774.8332639,99.0,99.0,r,20.1426092946355,2.0,1.0
28,2459774.8361227,99.0,99.0,r,20.3009749343796,2.0,1.0
29,2459774.9033796,99.0,99.0,r,19.8638357554556,2.0,1.0
30,2459775.7162269,99.0,99.0,r,19.6223935946766,2.0,1.0
31,2459775.7479861,20.3246074832125,0.158362020137519,r,20.6673656893733,2.0,1.0
32,2459775.7543056,20.2353213461672,0.147824811917529,r,20.6528387974985,2.0,1.0
33,2459775.8588079,20.3113531185884,0.185543160078513,r,20.4821265351514,2.0,1.0
34,2459775.9289815,20.0456476505202,0.259545968319522,r,19.8519977218238,2.0,1.0
35,2459776.693206,20.2938128909772,0.0882572307418372,r,21.2713229390368,2.0,1.0
36,2459776.7296875,20.5015774450769,0.145929472994453,r,20.9331056989826,2.0,1.0
37,2459776.790787,20.0493674394002,0.0945618654047566,r,20.9519631513163,2.0,1.0
38,2459776.8046528,20.2628271535332,0.146375712431079,r,20.6910403879806,2.0,1.0
39,2459776.8954977,20.4362521711101,0.250151967296846,r,20.2826281534481,2.0,1.0
40,2459776.9345139,99.0,99.0,r,19.8017565831048,2.0,1.0
41,2459777.6919213,20.1252546347585,0.0799576602381202,r,21.209990231137,2.0,1.0
42,2459778.7078472,19.8536428372993,0.0779666894282935,r,20.9657558916966,2.0,1.0
43,2459778.7150231,19.7081453141489,0.0654847895856482,r,21.0096800122737,2.0,1.0
44,2459778.7565046,99.0,99.0,r,16.2338317432483,2.0,1.0
45,2459778.8407755,19.8813910195931,0.106003070147562,r,20.6599806990878,2.0,1.0
46,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
47,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
48,2459776.7296875,20.3659992218018,0.258083999156952,r,99.0,2.0,0.0
49,2459776.790787,20.06369972229,0.174545004963875,r,99.0,2.0,0.0
50,2459776.8046528,20.2693004608154,0.233931005001068,r,99.0,2.0,0.0
51,2459776.8287037,20.0177001953125,0.220290005207062,r,99.0,1.0,0.0
52,2459777.6919213,20.0560340881348,0.17187973856926,r,99.0,2.0,0.0
53,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
54,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
55,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
56,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
57,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
58,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
59,2459776.7296875,20.3659992218018,0.258083999156952,r,99.0,2.0,0.0
60,2459776.8046528,20.2693004608154,0.233931005001068,r,99.0,2.0,0.0
61,2459776.8287037,20.0177001953125,0.220290005207062,r,99.0,1.0,0.0
62,2459777.6919213,20.0560340881348,0.17187973856926,r,99.0,2.0,0.0
63,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
64,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
65,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
66,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
67,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
68,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
69,2459776.8046528,20.2693004608154,0.233931005001068,r,99.0,2.0,0.0
70,2459776.8287037,20.0177001953125,0.220290005207062,r,99.0,1.0,0.0
71,2459777.6919213,20.0560340881348,0.17187973856926,r,99.0,2.0,0.0
72,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
73,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
74,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
75,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
76,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
77,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
78,2459776.8287037,20.0177001953125,0.220290005207062,r,99.0,1.0,0.0
79,2459777.6919213,20.0560340881348,0.17187973856926,r,99.0,2.0,0.0
80,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
81,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
82,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
83,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
84,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
85,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
86,2459777.6919213,20.0560340881348,0.17187973856926,r,99.0,2.0,0.0
87,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
88,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
89,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
90,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
91,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
92,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
93,2459777.7153356,20.1933116912842,0.170971125364304,r,99.0,1.0,0.0
94,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
95,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
96,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
97,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
98,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
99,2459778.7078472,19.7779407501221,0.158758372068405,r,99.0,2.0,0.0
100,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
101,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
102,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
103,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
104,2459778.7150231,19.7493991851807,0.140220999717712,r,99.0,2.0,0.0
105,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
106,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
107,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
108,2459778.8407755,19.896448135376,0.204068869352341,r,99.0,2.0,0.0
109,2459775.7479861,20.315299987793,0.306712001562119,r,99.0,2.0,0.0
110,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
111,2459775.7543056,20.2429008483887,0.295974999666214,r,99.0,2.0,0.0
