,jd,mag,mag_unc,filter,limmag,programid,forced
2,2459770.7354282,20.8728779380614,0.251444611895309,g,20.7136578928123,2.0,1.0
3,2459770.7359028,20.8920233602991,0.257105006910391,g,20.7086328137501,2.0,1.0
5,2459771.6940856,20.5845620860443,0.188110422787862,g,20.7404157263202,2.0,1.0
9,2459772.7554051,20.5196063761383,0.195274951292387,r,20.6348758198516,2.0,1.0
10,2459772.7672917,20.2883257256914,0.164535816743631,r,20.5895603864089,2.0,1.0
13,2459773.7749074,20.3571641714367,0.218344937084094,r,20.3511921453133,2.0,1.0
14,2459773.7901736,20.299091304434,0.20758330578181,r,20.3479960339077,2.0,1.0
18,2459774.8384838,99.0,99.0,r,20.0356774057094,2.0,1.0
19,2459774.8436806,99.0,99.0,r,19.7525824428727,2.0,1.0
21,2459775.745625,20.5089365536886,0.163962361763549,r,20.8139619292829,2.0,1.0
22,2459775.7460995,20.46903083423,0.177200293473766,r,20.6897555312788,2.0,1.0
25,2459776.7773032,19.9397628736741,0.0964762932735224,r,20.8205971401664,2.0,1.0
26,2459776.7777778,20.1732295415671,0.125007897068353,r,20.7727717072408,2.0,1.0
34,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
35,2459776.7777778,20.1914291381836,0.216196849942207,r,99.0,2.0,0.0
37,2459777.7172685,20.2683448791504,0.173920005559921,r,99.0,1.0,0.0
39,2459777.7221528,20.1599998474121,0.230886995792389,r,99.0,1.0,0.0
42,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
44,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
45,2459776.7777778,20.1914291381836,0.216196849942207,r,99.0,2.0,0.0
48,2459777.7221528,20.1599998474121,0.230886995792389,r,99.0,1.0,0.0
51,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
53,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
54,2459776.7777778,20.1914291381836,0.216196849942207,r,99.0,2.0,0.0
56,2459777.7221528,20.1599998474121,0.230886995792389,r,99.0,1.0,0.0
59,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
61,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
63,2459777.7221528,20.1599998474121,0.230886995792389,r,99.0,1.0,0.0
66,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
68,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
69,2459777.7221528,20.1599998474121,0.230886995792389,r,99.0,1.0,0.0
72,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
74,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
77,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
79,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
81,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
83,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
84,2459780.7756134,19.9482002258301,0.331477999687195,g,99.0,1.0,0.0
86,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
88,2459775.745625,20.5368003845215,0.351920008659363,r,99.0,2.0,0.0
