,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459772.7516319,19.9948696832957,0.178427258399745,r,20.208102466285,2.0,1.0
6,2459775.7303819,19.8254178515991,0.118914459465743,r,20.4792169754563,2.0,1.0
8,2459776.7740046,19.7557448820349,0.10925769648557,r,20.501500571357,2.0,1.0
15,2459775.8178588,19.6508007049561,0.234674006700516,r,99.0,1.0,0.0
16,2459777.7080093,19.6877002716064,0.161212623119354,r,99.0,1.0,0.0
18,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
24,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
25,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
28,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
29,2459775.8178588,19.6508007049561,0.234674006700516,r,99.0,1.0,0.0
31,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
37,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
38,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
41,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
43,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
49,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
50,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
53,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
55,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
60,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
61,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
64,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
66,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
70,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
71,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
74,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
76,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
79,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
80,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
83,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
85,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
87,2459779.707963,19.7210025787354,0.17708794772625,r,99.0,1.0,0.0
88,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
91,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
93,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
95,2459779.7285185,19.7032699584961,0.154695093631744,r,99.0,1.0,0.0
98,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
100,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
104,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
106,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
109,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
111,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
113,2459781.7328472,19.9870853424072,0.184880703687668,g,99.0,1.0,0.0
115,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
117,2459775.7303819,19.8449993133545,0.275492995977402,r,99.0,2.0,0.0
