,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459776.7647454,99.0,99.0,r,20.2609377503613,2.0,1.0
1,2459776.8361574,99.0,99.0,r,20.3465387381965,2.0,1.0
2,2459776.8991088,20.4339341790393,0.186343288673191,r,20.6000355785008,2.0,1.0
3,2459778.8053125,99.0,99.0,r,17.61358817386,2.0,1.0
4,2459778.8631944,20.4990516890364,0.239078462705465,r,20.394586341576,2.0,1.0
5,2459778.9046759,20.3824037702156,0.182742491539368,r,20.5696907046715,2.0,1.0
6,2459779.8677431,20.4262475808299,0.140856652883766,r,20.8961899593578,2.0,1.0
7,2459779.8909375,19.9609342515083,0.098518042396128,r,20.8190306066012,2.0,1.0
8,2459779.9339468,20.0071436552516,0.100829289073305,r,20.840062681647,2.0,1.0
9,2459779.9609606,20.2693510684368,0.137447384667794,r,20.76589565614,2.0,1.0
10,2459780.8810648,19.2665057309159,0.148700088910041,g,19.6776134495241,2.0,1.0
11,2459780.934456,99.0,99.0,g,20.9004932014282,2.0,1.0
12,2459780.9664815,99.0,99.0,g,20.7543162525001,2.0,1.0
13,2459781.7800694,21.0244884841369,0.248798380640846,g,20.876755399912,2.0,1.0
14,2459781.8273727,99.0,99.0,g,20.7675309772304,2.0,1.0
15,2459781.8634722,99.0,99.0,g,21.0684960841394,2.0,1.0
16,2459781.8999653,99.0,99.0,g,20.7376519261503,2.0,1.0
17,2459781.9502199,99.0,99.0,g,19.8972116795373,2.0,1.0
18,2459782.8267361,21.0804915465256,0.212104900992139,g,21.1060005765221,2.0,1.0
19,2459782.8437153,20.0905786716627,0.14678411422422,i,20.5157668197277,2.0,1.0
20,2459782.8600926,19.9135952265413,0.0823636256743292,r,20.9661423752451,2.0,1.0
21,2459782.9041435,20.0373826288209,0.0887969015985687,r,21.0082738875344,2.0,1.0
22,2459782.9685185,99.0,99.0,g,21.0919245947186,2.0,1.0
23,2459779.8909375,20.0007228851318,0.171179682016373,r,99.0,2.0,0.0
24,2459782.8600926,19.8831081390381,0.21503558754921,r,99.0,2.0,0.0
25,2459782.8600926,19.8831081390381,0.21503558754921,r,99.0,2.0,0.0
