,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459774.8346991,99.0,99.0,r,20.278858325198,2.0,1.0
1,2459775.6909491,99.0,99.0,r,20.5849015737046,2.0,1.0
2,2459775.7284259,20.800370682068,0.241124088380204,r,20.6866549743734,2.0,1.0
3,2459775.7523727,99.0,99.0,r,20.7158732299969,2.0,1.0
4,2459775.856875,99.0,99.0,r,20.6019282622491,2.0,1.0
5,2459775.9570023,99.0,99.0,r,19.8197174652207,2.0,1.0
6,2459776.6927083,99.0,99.0,r,21.4800830476778,2.0,1.0
7,2459776.7126389,21.0284511008675,0.157849877254345,r,21.3747262686674,2.0,1.0
8,2459776.8066551,99.0,99.0,r,21.0053579705887,2.0,1.0
9,2459776.9359375,99.0,99.0,r,20.2419575591772,2.0,1.0
10,2459777.6914236,20.385451319531,0.090541881621523,r,21.3352133194582,2.0,1.0
11,2459778.7291435,20.3190141447121,0.0947070432157667,r,21.2199442387768,2.0,1.0
12,2459778.7545833,99.0,99.0,r,18.5341052759851,2.0,1.0
13,2459778.8284838,99.0,99.0,r,20.3742949035034,2.0,1.0
14,2459778.8393519,20.6369930460852,0.174446552083397,r,20.8747228599589,2.0,1.0
15,2459779.7563079,19.9730369452173,0.0637937296859094,r,21.3029777497563,2.0,1.0
16,2459779.777581,20.1058769337278,0.0795570440528583,r,21.1960661265381,2.0,1.0
17,2459779.8009491,20.086901162544,0.0863949741220023,r,21.0875657544245,2.0,1.0
18,2459779.8515046,20.6948526763889,0.177513394401106,r,20.9136606439037,2.0,1.0
19,2459779.8802894,20.2171751454008,0.127543188331082,r,20.7949177612362,2.0,1.0
20,2459780.7307986,20.1737033278205,0.0849052627385953,g,21.1932525913168,2.0,1.0
21,2459780.795787,99.0,99.0,g,19.5243020088657,2.0,1.0
22,2459780.8594792,18.3949605485909,0.0681738229427259,g,19.6528022167987,2.0,1.0
23,2459781.7564352,19.9201986466387,0.0669029405032666,g,21.1984714202239,2.0,1.0
24,2459781.7898843,20.0273726554187,0.0715384253451142,g,21.2329100031974,2.0,1.0
25,2459781.8109954,20.0701277973336,0.0773034818095765,g,21.1915159481158,2.0,1.0
26,2459781.8754282,19.9896485478688,0.127162369401995,g,20.5706378082654,2.0,1.0
27,2459781.7564352,19.8915367126465,0.186797261238098,g,99.0,2.0,0.0
28,2459781.7898843,20.0425758361816,0.192946538329124,g,99.0,2.0,0.0
29,2459781.8754282,19.8626003265381,0.282772988080978,g,99.0,2.0,0.0
30,2459782.7551852,19.7822570800781,0.179712295532227,r,99.0,2.0,0.0
31,2459782.7778704,19.7847023010254,0.148999318480492,g,99.0,2.0,0.0
32,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
33,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
34,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
35,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
36,2459781.7564352,19.8915367126465,0.186797261238098,g,99.0,2.0,0.0
37,2459781.7898843,20.0425758361816,0.192946538329124,g,99.0,2.0,0.0
38,2459782.7551852,19.7822570800781,0.179712295532227,r,99.0,2.0,0.0
39,2459782.7778704,19.7847023010254,0.148999318480492,g,99.0,2.0,0.0
40,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
41,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
42,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
43,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
44,2459781.7564352,19.8915367126465,0.186797261238098,g,99.0,2.0,0.0
45,2459781.7898843,20.0425758361816,0.192946538329124,g,99.0,2.0,0.0
46,2459782.7778704,19.7847023010254,0.148999318480492,g,99.0,2.0,0.0
47,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
48,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
49,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
50,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
51,2459781.7898843,20.0425758361816,0.192946538329124,g,99.0,2.0,0.0
52,2459782.7778704,19.7847023010254,0.148999318480492,g,99.0,2.0,0.0
53,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
54,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
55,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
56,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
57,2459782.7778704,19.7847023010254,0.148999318480492,g,99.0,2.0,0.0
58,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
59,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
60,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
61,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
62,2459782.7788194,19.7472801208496,0.183978572487831,g,99.0,1.0,0.0
63,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
64,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
65,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
66,2459782.8085532,19.9071044921875,0.185969576239586,g,99.0,2.0,0.0
67,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
68,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
69,2459782.8691782,19.6998653411865,0.150164037942886,r,99.0,1.0,0.0
70,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
71,2459782.8706134,19.6650676727295,0.206247493624687,r,99.0,2.0,0.0
