,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459786.781875,99.0,99.0,r,21.3472980260294,2.0,1.0
1,2459786.8085995,16.738338100046,0.00871084691677104,g,20.2300729352005,2.0,1.0
2,2459787.7046065,21.1960142623726,0.246418062053944,r,21.0587187070708,2.0,1.0
3,2459787.7225926,99.0,99.0,g,21.0883921206286,2.0,1.0
4,2459787.7590046,99.0,99.0,g,21.4970023564625,2.0,1.0
5,2459787.8046991,99.0,99.0,r,21.2195932291105,2.0,1.0
6,2459788.7681481,20.9430902226132,0.196014970133193,r,21.05425290987,2.0,1.0
7,2459789.6848843,21.4272949380457,0.252189457950198,g,21.2648634066529,2.0,1.0
8,2459789.7230671,20.7274911445145,0.130369206862718,r,21.2814393751479,2.0,1.0
9,2459789.7588079,20.8507397837043,0.165893632004364,r,21.1430512840224,2.0,1.0
10,2459789.7852778,20.9494517452279,0.20170460585157,g,21.0295479961115,2.0,1.0
11,2459789.8103935,99.0,99.0,i,20.6161239295442,2.0,1.0
15,2459792.7484144,20.3693224285999,0.214692572097459,i,20.381665670095,2.0,1.0
16,2459792.7597454,19.9092472043279,0.0952257444964183,g,20.8042470515223,2.0,1.0
17,2459792.7796528,20.0068100665588,0.190875806736033,g,20.1468186416184,2.0,1.0
18,2459793.7599537,19.7132823744387,0.0566273377756459,g,21.1726028020439,2.0,1.0
19,2459793.7753125,19.8289709144707,0.059616572930906,g,21.2324391862618,2.0,1.0
20,2459792.7796528,19.9491004943848,0.327468991279602,g,99.0,2.0,0.0
21,2459793.7599537,19.7757778167725,0.134204983711243,g,99.0,2.0,0.0
22,2459793.7753125,19.8988742828369,0.181131780147552,g,99.0,2.0,0.0
23,2459792.7796528,19.9491004943848,0.327468991279602,g,99.0,2.0,0.0
24,2459793.7753125,19.8988742828369,0.181131780147552,g,99.0,2.0,0.0
25,2459792.7796528,19.9491004943848,0.327468991279602,g,99.0,2.0,0.0
