,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459788.9165394,99.0,99.0,r,21.3125663994996,2.0,1.0
1,2459788.9268634,99.0,99.0,r,21.4431838356524,2.0,1.0
4,2459788.9681597,99.0,99.0,g,21.0750124570669,2.0,1.0
5,2459789.8695949,99.0,99.0,g,21.1773696952661,2.0,1.0
6,2459789.8865278,99.0,99.0,g,21.1839733953478,2.0,1.0
7,2459789.9107986,99.0,99.0,g,21.0802632751544,2.0,1.0
8,2459789.9112731,99.0,99.0,g,21.227958764456,2.0,1.0
9,2459789.9279282,99.0,99.0,i,20.4906929050954,2.0,1.0
10,2459789.9284028,99.0,99.0,i,20.7450495737334,2.0,1.0
11,2459789.9511574,99.0,99.0,r,21.0976963537243,2.0,1.0
12,2459789.9525694,99.0,99.0,r,21.0048995237288,2.0,1.0
13,2459789.9662037,99.0,99.0,r,21.1254672947377,2.0,1.0
14,2459789.9729514,99.0,99.0,r,21.2546251063228,2.0,1.0
15,2459790.8409491,99.0,99.0,g,19.9866789271151,2.0,1.0
16,2459790.8623495,99.0,99.0,g,21.1790747266307,2.0,1.0
18,2459793.8076968,20.8044055463495,0.195103689885983,g,20.9206276278443,2.0,1.0
19,2459793.8937153,99.0,99.0,r,19.9083906693111,2.0,1.0
20,2459793.9158102,21.0045911020129,0.157211304362107,r,21.3552674636019,2.0,1.0
21,2459793.9162731,21.6942346420028,0.26726384015211,r,21.468769920517,2.0,1.0
22,2459793.9304051,20.7672452835956,0.238524842909754,i,20.6652970264401,2.0,1.0
23,2459793.9308796,99.0,99.0,i,20.7927953621734,2.0,1.0
24,2459793.9472917,21.1614535871917,0.187498267508147,g,21.3208462283254,2.0,1.0
25,2459793.974294,20.8074699513788,0.151425695557087,g,21.1988567974119,2.0,1.0
26,2459794.8872106,99.0,99.0,g,19.1333796071344,2.0,1.0
27,2459794.8876736,19.4900596531901,0.118668069275526,g,20.1461107511073,2.0,1.0
28,2459794.954838,20.6981821512827,0.156745772484255,r,21.0520783490975,2.0,1.0
29,2459795.8934375,20.8786691458956,0.197670077917793,r,20.9807026013423,2.0,1.0
30,2459795.893912,21.0045538187219,0.204830134344855,r,21.0679549831945,2.0,1.0
31,2459795.9092708,20.7113911334384,0.101453566184482,g,21.5376086288274,2.0,1.0
32,2459795.93375,99.0,99.0,g,20.3362737747371,2.0,1.0
33,2459795.9351736,99.0,99.0,g,20.0775705421794,2.0,1.0
34,2459795.9430324,99.0,99.0,r,19.7713597722944,2.0,1.0
35,2459795.9449421,99.0,99.0,r,20.118016273976,2.0,1.0
36,2459795.9092708,20.7782382965088,0.209921926259995,g,99.0,2.0,0.0
