,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459813.7058796,18.2143435540202,0.0206828100114615,r,20.7672054865579,2.0,1.0
2,2459814.7669676,99.0,99.0,r,20.8091225468518,2.0,1.0
4,2459815.8222222,99.0,99.0,r,20.7121071360945,2.0,1.0
6,2459817.7227662,99.0,99.0,r,21.1169760529171,2.0,1.0
8,2459819.7692708,18.683634533234,0.0370515064187073,r,20.6035056474053,2.0,1.0
10,2459820.7342361,18.8616857805833,0.0457564606837923,g,20.5524405099405,2.0,1.0
13,2459815.8222222,18.2900123596191,0.148694306612015,r,99.0,2.0,0.0
15,2459817.7227662,18.0938091278076,0.176195368170738,r,99.0,2.0,0.0
17,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
19,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
20,2459815.8222222,18.2900123596191,0.148694306612015,r,99.0,2.0,0.0
22,2459817.7227662,18.0938091278076,0.176195368170738,r,99.0,2.0,0.0
24,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
26,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
27,2459815.8222222,18.2900123596191,0.148694306612015,r,99.0,2.0,0.0
28,2459817.7227662,18.0938091278076,0.176195368170738,r,99.0,2.0,0.0
30,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
32,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
33,2459817.7227662,18.0938091278076,0.176195368170738,r,99.0,2.0,0.0
35,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
37,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
39,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
41,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
42,2459818.776412,17.2155342102051,0.0820449441671371,r,99.0,2.0,0.0
44,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
46,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
47,2459819.7692708,18.6064128875732,0.156727403402328,r,99.0,2.0,0.0
