,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459823.6726736,18.9501870455421,0.0356778868141746,r,20.9110750261553,2.0,1.0
1,2459823.705,18.8864567802916,0.037509544002007,g,20.7929881080608,2.0,1.0
2,2459823.7701852,19.1163678312374,0.0823926478883847,r,20.1685324698469,2.0,1.0
3,2459824.6723727,18.5638116435974,0.0280294948380531,r,20.7866592558071,2.0,1.0
4,2459824.6927315,18.5224205872989,0.0260322273616528,g,20.8255280547062,2.0,1.0
5,2459824.7275926,18.4632335850144,0.027351477753643,g,20.7126673853741,2.0,1.0
6,2459824.7914699,99.0,99.0,r,18.3864765821113,2.0,1.0
7,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
8,2459823.6726736,18.9402046203613,0.0944103375077248,r,99.0,2.0,0.0
9,2459823.6849421,18.9290256500244,0.0825238078832626,r,99.0,1.0,0.0
10,2459823.705,18.8698997497559,0.0959889963269234,g,99.0,2.0,0.0
11,2459823.7458102,18.8763999938965,0.134233996272087,g,99.0,1.0,0.0
12,2459824.6723727,18.6187515258789,0.0657555237412453,r,99.0,2.0,0.0
13,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
14,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
15,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
16,2459823.6726736,18.9402046203613,0.0944103375077248,r,99.0,2.0,0.0
17,2459823.6849421,18.9290256500244,0.0825238078832626,r,99.0,1.0,0.0
18,2459823.7458102,18.8763999938965,0.134233996272087,g,99.0,1.0,0.0
19,2459824.6723727,18.6187515258789,0.0657555237412453,r,99.0,2.0,0.0
20,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
21,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
22,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
23,2459823.6726736,18.9402046203613,0.0944103375077248,r,99.0,2.0,0.0
24,2459823.7458102,18.8763999938965,0.134233996272087,g,99.0,1.0,0.0
25,2459824.6723727,18.6187515258789,0.0657555237412453,r,99.0,2.0,0.0
26,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
27,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
28,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
29,2459823.6726736,18.9402046203613,0.0944103375077248,r,99.0,2.0,0.0
30,2459824.6723727,18.6187515258789,0.0657555237412453,r,99.0,2.0,0.0
31,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
32,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
33,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
34,2459824.6723727,18.6187515258789,0.0657555237412453,r,99.0,2.0,0.0
35,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
36,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
37,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
38,2459824.6927315,18.4935035705566,0.0820481926202774,g,99.0,2.0,0.0
39,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
40,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
41,2459824.7275926,18.4757461547852,0.0628223791718483,g,99.0,2.0,0.0
42,2459820.6588889,19.8775997161865,0.202142998576164,r,99.0,1.0,0.0
