,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459816.9312037,99.0,99.0,g,21.4426743982294,2.0,1.0
1,2459819.763912,99.0,99.0,r,21.3006533956074,2.0,1.0
2,2459819.787338,99.0,99.0,g,21.5779784710208,2.0,1.0
3,2459819.9247917,21.8936892233988,0.268189062323896,g,21.6644723578701,2.0,1.0
4,2459819.9708102,99.0,99.0,r,21.3359155811465,2.0,1.0
5,2459823.8455324,20.320493484473,0.103085791464048,r,21.1293822493954,2.0,1.0
6,2459823.8815046,20.5775318548385,0.191701244767748,i,20.7128553117346,2.0,1.0
7,2459823.9076852,20.3660708753124,0.109014838927292,r,21.1142426207996,2.0,1.0
8,2459823.9305556,20.2838532486035,0.0948149609750749,g,21.1835468611148,2.0,1.0
9,2459824.7854051,20.0478025039154,0.070515351175062,r,21.2689791102846,2.0,1.0
10,2459824.8703472,20.0088738132892,0.0772659257800672,r,21.1307895709555,2.0,1.0
11,2459824.9026042,20.0538665845963,0.0640104678156708,g,21.3801248706481,2.0,1.0
12,2459821.7941435,21.1340999603271,0.279630988836288,r,99.0,1.0,0.0
13,2459821.8756019,20.9629993438721,0.302157998085022,g,99.0,1.0,0.0
14,2459823.8455324,20.2928466796875,0.162639588117599,r,99.0,2.0,0.0
15,2459823.8815046,20.4755992889404,0.331018000841141,i,99.0,2.0,0.0
16,2459823.9076852,20.4250965118408,0.197083011269569,r,99.0,2.0,0.0
17,2459823.9305556,20.3066997528076,0.236292004585266,g,99.0,2.0,0.0
18,2459824.7679745,19.9740104675293,0.119430586695671,g,99.0,1.0,0.0
19,2459824.7854051,20.0793590545654,0.150202378630638,r,99.0,2.0,0.0
20,2459824.8253241,20.1476001739502,0.183404996991158,r,99.0,1.0,0.0
21,2459824.8703472,19.9974212646484,0.168954908847809,r,99.0,2.0,0.0
22,2459824.9026042,20.0860977172852,0.147895097732544,g,99.0,2.0,0.0
23,2459821.7941435,21.1340999603271,0.279630988836288,r,99.0,1.0,0.0
24,2459823.8455324,20.2928466796875,0.162639588117599,r,99.0,2.0,0.0
25,2459823.8815046,20.4755992889404,0.331018000841141,i,99.0,2.0,0.0
26,2459823.9076852,20.4250965118408,0.197083011269569,r,99.0,2.0,0.0
27,2459823.9305556,20.3066997528076,0.236292004585266,g,99.0,2.0,0.0
28,2459824.7679745,19.9740104675293,0.119430586695671,g,99.0,1.0,0.0
29,2459824.7854051,20.0793590545654,0.150202378630638,r,99.0,2.0,0.0
30,2459824.8253241,20.1476001739502,0.183404996991158,r,99.0,1.0,0.0
31,2459824.8703472,19.9974212646484,0.168954908847809,r,99.0,2.0,0.0
32,2459824.9026042,20.0860977172852,0.147895097732544,g,99.0,2.0,0.0
33,2459821.7941435,21.1340999603271,0.279630988836288,r,99.0,1.0,0.0
34,2459823.8455324,20.2928466796875,0.162639588117599,r,99.0,2.0,0.0
35,2459823.9076852,20.4250965118408,0.197083011269569,r,99.0,2.0,0.0
36,2459823.9305556,20.3066997528076,0.236292004585266,g,99.0,2.0,0.0
37,2459824.7679745,19.9740104675293,0.119430586695671,g,99.0,1.0,0.0
38,2459824.7854051,20.0793590545654,0.150202378630638,r,99.0,2.0,0.0
39,2459824.8253241,20.1476001739502,0.183404996991158,r,99.0,1.0,0.0
40,2459824.8703472,19.9974212646484,0.168954908847809,r,99.0,2.0,0.0
41,2459824.9026042,20.0860977172852,0.147895097732544,g,99.0,2.0,0.0
42,2459821.7941435,21.1340999603271,0.279630988836288,r,99.0,1.0,0.0
43,2459823.9076852,20.4250965118408,0.197083011269569,r,99.0,2.0,0.0
44,2459823.9305556,20.3066997528076,0.236292004585266,g,99.0,2.0,0.0
45,2459824.7679745,19.9740104675293,0.119430586695671,g,99.0,1.0,0.0
46,2459824.7854051,20.0793590545654,0.150202378630638,r,99.0,2.0,0.0
47,2459824.8253241,20.1476001739502,0.183404996991158,r,99.0,1.0,0.0
48,2459824.8703472,19.9974212646484,0.168954908847809,r,99.0,2.0,0.0
