,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459818.9205671,99.0,99.0,r,21.166758764719,2.0,1.0
1,2459818.9572106,99.0,99.0,r,21.3167154346809,2.0,1.0
2,2459818.9747685,99.0,99.0,g,21.2205511800094,2.0,1.0
3,2459818.9813889,99.0,99.0,g,21.4208905867145,2.0,1.0
4,2459823.8983449,99.0,99.0,r,20.7261123021243,2.0,1.0
5,2459823.9190394,20.994939978019,0.228301638153634,g,20.9405531977745,2.0,1.0
6,2459823.9401157,21.3640517264248,0.271137158457399,g,21.1229649147857,2.0,1.0
7,2459824.8784838,21.19847864773,0.218489338478736,r,21.1917888124205,2.0,1.0
8,2459824.9148611,21.3229896534108,0.235604645965229,g,21.2344158170154,2.0,1.0
9,2459824.9201273,99.0,99.0,g,21.0995847708883,2.0,1.0
11,2459824.9822685,99.0,99.0,r,21.2476022091683,2.0,1.0
12,2459823.9190394,20.7966003417969,0.309688001871109,g,99.0,2.0,0.0
