,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459823.7897917,99.0,99.0,r,21.0071939140402,2.0,1.0
1,2459823.8426968,99.0,99.0,r,20.8255043907351,2.0,1.0
2,2459823.8665046,99.0,99.0,i,20.8635035758976,2.0,1.0
3,2459823.9272454,99.0,99.0,g,21.0309042682547,2.0,1.0
4,2459824.7175579,99.0,99.0,g,21.4358859342159,2.0,1.0
5,2459824.7849306,99.0,99.0,r,21.5109326929953,2.0,1.0
6,2459824.8425694,99.0,99.0,g,21.460844606121,2.0,1.0
7,2459824.8698727,99.0,99.0,r,21.3738551013742,2.0,1.0
8,2459825.8114005,99.0,99.0,g,21.3520375124415,2.0,1.0
9,2459825.878044,99.0,99.0,r,21.1635519384636,2.0,1.0
10,2459826.7473727,99.0,99.0,g,21.1209966257731,2.0,1.0
11,2459826.7550579,99.0,99.0,r,20.9826344915519,2.0,1.0
12,2459826.8079167,99.0,99.0,r,21.3975376420666,2.0,1.0
13,2459826.8516551,99.0,99.0,g,20.4990670128525,2.0,1.0
14,2459826.8841782,99.0,99.0,i,20.8435254516204,2.0,1.0
15,2459827.7915856,21.1613032910708,0.21221815084358,g,21.1862327651544,2.0,1.0
16,2459827.8331944,99.0,99.0,r,20.2190077675284,2.0,1.0
17,2459827.8580903,21.2180143802032,0.261853816123657,r,21.0147529006211,2.0,1.0
18,2459827.9250579,21.1148368455173,0.271329716723064,g,20.8729792310922,2.0,1.0
19,2459828.7562384,20.8089663210759,0.232448454620171,r,20.7350354521118,2.0,1.0
20,2459829.6758333,19.8802629166086,0.138254572931633,r,20.3704499431699,2.0,1.0
21,2459829.9066667,20.2499234072569,0.120706284881804,g,20.8874844879975,2.0,1.0
22,2459829.9321528,20.0924203516576,0.0998798455863746,r,20.9356114850909,2.0,1.0
23,2459830.6792245,19.6189144582448,0.177352285896878,g,19.8387082711522,2.0,1.0
24,2459830.6967361,99.0,99.0,i,19.7838614996591,2.0,1.0
25,2459829.6758333,19.8976993560791,0.237947002053261,r,99.0,2.0,0.0
26,2459829.9066667,20.1844100952148,0.211458325386047,g,99.0,2.0,0.0
27,2459829.9312153,20.0109004974365,0.166672006249428,r,99.0,1.0,0.0
28,2459829.9066667,20.1844100952148,0.211458325386047,g,99.0,2.0,0.0
29,2459829.9312153,20.0109004974365,0.166672006249428,r,99.0,1.0,0.0
30,2459829.9066667,20.1844100952148,0.211458325386047,g,99.0,2.0,0.0
