,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459823.7902546,99.0,99.0,r,21.1299708652781,2.0,1.0
1,2459823.8450579,99.0,99.0,r,20.989201831927,2.0,1.0
2,2459823.8660301,99.0,99.0,i,20.6738221160119,2.0,1.0
3,2459823.9300926,99.0,99.0,g,20.9799653864459,2.0,1.0
4,2459824.7844676,99.0,99.0,r,21.3603089098775,2.0,1.0
5,2459824.8411574,99.0,99.0,g,21.4510304716701,2.0,1.0
6,2459824.8708218,99.0,99.0,r,21.0810818589254,2.0,1.0
7,2459825.8109259,99.0,99.0,g,21.2718997217733,2.0,1.0
8,2459825.8452894,99.0,99.0,r,20.9605048213489,2.0,1.0
9,2459825.8775694,99.0,99.0,r,20.4515242073622,2.0,1.0
10,2459826.7560069,99.0,99.0,r,20.7666546450412,2.0,1.0
11,2459826.8083796,99.0,99.0,r,21.2522421348212,2.0,1.0
12,2459826.8199074,99.0,99.0,g,21.3400307893858,2.0,1.0
13,2459826.8837037,99.0,99.0,i,20.6086374398545,2.0,1.0
14,2459827.7911111,13.6825468000278,0.00163723138682611,g,18.9891574346938,2.0,1.0
15,2459827.8590278,13.6929175781551,0.00166643409111611,r,18.9803330131952,2.0,1.0
16,2459827.922662,13.0432962512378,0.00123402262438819,g,18.6568742351768,2.0,1.0
17,2459828.7326505,12.6092395626372,0.000992706719885132,g,18.4590729473795,2.0,1.0
18,2459828.7557755,12.9850190653039,0.00117713952349336,r,18.6498349999798,2.0,1.0
19,2459829.6667477,13.3541063556582,0.0015187034871287,r,18.742309669398,2.0,1.0
20,2459829.9052546,13.0621127515668,0.00119828224625736,g,18.7076007285074,2.0,1.0
21,2459829.9538773,13.4425429840829,0.0015109871717092,r,18.8362768301949,2.0,1.0
22,2459830.694838,13.9408722887043,0.00274543022692276,i,18.6862320505136,2.0,1.0
23,2459827.8590278,13.7114572525024,0.0192502066493034,r,99.0,2.0,0.0
24,2459827.922662,13.0408926010132,0.0238442663103342,g,99.0,2.0,0.0
25,2459828.7326505,12.6174631118774,0.0198895875364542,g,99.0,2.0,0.0
26,2459828.7557755,12.988959312439,0.0219951141625643,r,99.0,2.0,0.0
27,2459829.6667477,13.3482780456543,0.0331629738211632,r,99.0,2.0,0.0
28,2459829.9052546,13.0744647979736,0.0277536436915398,g,99.0,2.0,0.0
29,2459829.9061921,13.087610244751,0.0236234609037638,g,99.0,1.0,0.0
30,2459829.9326273,13.4739542007446,0.0175671726465225,r,99.0,1.0,0.0
31,2459829.9538773,13.4491529464722,0.0214818231761456,r,99.0,2.0,0.0
32,2459830.694838,13.9579639434814,0.0255697965621948,i,99.0,2.0,0.0
33,2459827.8590278,13.7114572525024,0.0192502066493034,r,99.0,2.0,0.0
34,2459827.922662,13.0408926010132,0.0238442663103342,g,99.0,2.0,0.0
35,2459828.7557755,12.988959312439,0.0219951141625643,r,99.0,2.0,0.0
36,2459829.6667477,13.3482780456543,0.0331629738211632,r,99.0,2.0,0.0
