,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6620718,19.4313635562466,0.0495445154288752,g,21.035760382483,2.0,1.0
1,2459838.6559028,19.3507923410656,0.0570652235377613,g,20.8017493230621,2.0,1.0
2,2459839.6590162,19.4266461586079,0.0534787457729964,g,20.9480789144936,2.0,1.0
3,2459839.6886458,19.2550922189202,0.0389275752866802,g,21.1213346247379,2.0,1.0
4,2459839.718125,19.3047298674847,0.0408923949328885,g,21.1175092903345,2.0,1.0
5,2459839.7762037,19.3233057787555,0.0473280328537512,g,20.977395433368,2.0,1.0
6,2459839.8316898,19.3951179796587,0.0523112904711989,g,20.9405151842422,2.0,1.0
7,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
8,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
9,2459839.6590162,19.4240550994873,0.117864832282066,g,99.0,2.0,0.0
10,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
11,2459839.7285301,19.3618030548096,0.103443115949631,g,99.0,1.0,0.0
12,2459839.7762037,19.3833847045898,0.107496976852417,g,99.0,2.0,0.0
13,2459839.799294,19.4851570129395,0.0966814234852791,g,99.0,1.0,0.0
14,2459839.8316898,19.4598178863525,0.114507466554642,g,99.0,2.0,0.0
15,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
16,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
17,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
18,2459839.7285301,19.3618030548096,0.103443115949631,g,99.0,1.0,0.0
19,2459839.7762037,19.3833847045898,0.107496976852417,g,99.0,2.0,0.0
20,2459839.799294,19.4851570129395,0.0966814234852791,g,99.0,1.0,0.0
21,2459839.8316898,19.4598178863525,0.114507466554642,g,99.0,2.0,0.0
22,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
23,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
24,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
25,2459839.7762037,19.3833847045898,0.107496976852417,g,99.0,2.0,0.0
26,2459839.799294,19.4851570129395,0.0966814234852791,g,99.0,1.0,0.0
27,2459839.8316898,19.4598178863525,0.114507466554642,g,99.0,2.0,0.0
28,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
29,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
30,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
31,2459839.799294,19.4851570129395,0.0966814234852791,g,99.0,1.0,0.0
32,2459839.8316898,19.4598178863525,0.114507466554642,g,99.0,2.0,0.0
33,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
34,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
35,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
36,2459839.8316898,19.4598178863525,0.114507466554642,g,99.0,2.0,0.0
37,2459837.6620718,19.4589786529541,0.115883275866508,g,99.0,2.0,0.0
38,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
39,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
40,2459838.6559028,19.3621730804443,0.119165368378162,g,99.0,2.0,0.0
41,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
42,2459839.718125,19.3247299194336,0.0954522117972374,g,99.0,2.0,0.0
