,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6625463,19.955961276586,0.0676566346455539,g,21.2220710870436,2.0,1.0
1,2459838.6568519,19.8707441076484,0.0702658015298663,g,21.0957698850642,2.0,1.0
2,2459839.6585532,19.7209017235493,0.0599913378453729,g,21.1175661449122,2.0,1.0
3,2459839.7014931,19.6693718022107,0.0532213649474881,g,21.1960425699556,2.0,1.0
4,2459839.7608912,19.5828278164785,0.0520533130340838,g,21.1335926649674,2.0,1.0
5,2459839.779537,19.5078665847282,0.0508660469238921,g,21.0836824049058,2.0,1.0
6,2459839.8302778,19.5893910465787,0.0504723430845651,g,21.1736431693839,2.0,1.0
7,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
8,2459839.6585532,19.6735916137695,0.141096368432045,g,99.0,2.0,0.0
9,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
10,2459839.7608912,19.6329383850098,0.116864837706089,g,99.0,2.0,0.0
11,2459839.779537,19.5588245391846,0.12245112657547,g,99.0,2.0,0.0
12,2459839.80125,19.6867752075195,0.132349401712418,g,99.0,1.0,0.0
13,2459839.8302778,19.6135578155518,0.117671370506287,g,99.0,2.0,0.0
14,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
15,2459839.6585532,19.6735916137695,0.141096368432045,g,99.0,2.0,0.0
16,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
17,2459839.779537,19.5588245391846,0.12245112657547,g,99.0,2.0,0.0
18,2459839.80125,19.6867752075195,0.132349401712418,g,99.0,1.0,0.0
19,2459839.8302778,19.6135578155518,0.117671370506287,g,99.0,2.0,0.0
20,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
21,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
22,2459839.779537,19.5588245391846,0.12245112657547,g,99.0,2.0,0.0
23,2459839.80125,19.6867752075195,0.132349401712418,g,99.0,1.0,0.0
24,2459839.8302778,19.6135578155518,0.117671370506287,g,99.0,2.0,0.0
25,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
26,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
27,2459839.80125,19.6867752075195,0.132349401712418,g,99.0,1.0,0.0
28,2459839.8302778,19.6135578155518,0.117671370506287,g,99.0,2.0,0.0
29,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
30,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
31,2459839.8302778,19.6135578155518,0.117671370506287,g,99.0,2.0,0.0
32,2459838.6568519,19.8821468353271,0.148439899086952,g,99.0,2.0,0.0
33,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
34,2459839.7024306,19.5239658355713,0.116180762648582,g,99.0,1.0,0.0
