,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459838.6649884,19.8907672204361,0.0751260074520477,g,21.0431772370027,2.0,1.0
1,2459839.6436343,19.6791140506187,0.0587074569311149,g,21.0992666692848,2.0,1.0
2,2459839.6657292,20.0046027595986,0.0859310090510628,g,21.0111137697984,2.0,1.0
3,2459839.6808449,19.9410113630566,0.0717232950117739,g,21.1437465693956,2.0,1.0
4,2459839.6943981,19.742163560246,0.0623839358046277,g,21.0963674219896,2.0,1.0
5,2459839.7872338,20.0740874209945,0.117373343302338,g,20.7420495217083,2.0,1.0
6,2459838.6649884,19.8932056427002,0.175467252731323,g,99.0,2.0,0.0
7,2459839.6436343,19.7241306304932,0.146523147821426,g,99.0,2.0,0.0
8,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
9,2459839.6808449,19.9079818725586,0.164002031087875,g,99.0,2.0,0.0
10,2459839.6943981,19.8100605010986,0.167851150035858,g,99.0,2.0,0.0
11,2459839.7862963,19.9752159118652,0.193120345473289,g,99.0,1.0,0.0
12,2459838.6649884,19.8932056427002,0.175467252731323,g,99.0,2.0,0.0
13,2459839.6436343,19.7241306304932,0.146523147821426,g,99.0,2.0,0.0
14,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
15,2459839.6943981,19.8100605010986,0.167851150035858,g,99.0,2.0,0.0
16,2459839.7862963,19.9752159118652,0.193120345473289,g,99.0,1.0,0.0
17,2459838.6649884,19.8932056427002,0.175467252731323,g,99.0,2.0,0.0
18,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
19,2459839.6943981,19.8100605010986,0.167851150035858,g,99.0,2.0,0.0
20,2459839.7862963,19.9752159118652,0.193120345473289,g,99.0,1.0,0.0
21,2459838.6649884,19.8932056427002,0.175467252731323,g,99.0,2.0,0.0
22,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
23,2459839.7862963,19.9752159118652,0.193120345473289,g,99.0,1.0,0.0
24,2459838.6649884,19.8932056427002,0.175467252731323,g,99.0,2.0,0.0
25,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
26,2459839.676713,19.8243675231934,0.148989394307137,g,99.0,1.0,0.0
