,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6615972,21.0327860552686,0.179054183577979,g,21.242210662607,2.0,1.0
1,2459838.6563773,20.4091712036103,0.118532510692802,g,21.0664632839667,2.0,1.0
2,2459839.6594907,20.3118556163476,0.106871924175818,g,21.0815823336467,2.0,1.0
3,2459839.6599653,20.1083690688446,0.0839678854324306,g,21.1399718167777,2.0,1.0
4,2459839.7019676,20.3265902947424,0.096261105769345,g,21.2098489683537,2.0,1.0
5,2459839.7275926,20.4592991717199,0.0928559943760792,g,21.3816600979879,2.0,1.0
6,2459839.76375,20.2658065869922,0.0913962707947625,g,21.2053711867025,2.0,1.0
7,2459839.7646991,20.1634611950759,0.0718011414907338,g,21.3650186124478,2.0,1.0
8,2459839.7766782,20.2107626781447,0.0955746564576495,g,21.1017916031716,2.0,1.0
9,2459839.8307523,20.2393179698763,0.104195194272176,g,21.0365845371157,2.0,1.0
10,2459839.8530208,20.3198131295295,0.102576426598878,g,21.1340800043599,2.0,1.0
11,2459837.6615972,20.9983005523682,0.316419988870621,g,99.0,2.0,0.0
12,2459838.6563773,20.4678993225098,0.248311996459961,g,99.0,2.0,0.0
13,2459839.6594907,20.3018245697021,0.184914514422417,g,99.0,2.0,0.0
14,2459839.7185995,19.9974899291992,0.13984988629818,g,99.0,1.0,0.0
15,2459839.7275926,20.4314765930176,0.181581541895866,g,99.0,2.0,0.0
16,2459839.7280671,20.3491992950439,0.221840992569923,g,99.0,1.0,0.0
17,2459839.7646991,20.1360359191895,0.164326086640358,g,99.0,2.0,0.0
18,2459839.7757292,20.4843997955322,0.223039999604225,g,99.0,1.0,0.0
19,2459839.7766782,20.228141784668,0.17292295396328,g,99.0,2.0,0.0
20,2459839.7988194,20.3538436889648,0.216053262352943,g,99.0,1.0,0.0
21,2459839.8530208,20.3383750915527,0.204619377851486,g,99.0,2.0,0.0
22,2459837.6615972,20.9983005523682,0.316419988870621,g,99.0,2.0,0.0
23,2459838.6563773,20.4678993225098,0.248311996459961,g,99.0,2.0,0.0
24,2459839.7185995,19.9974899291992,0.13984988629818,g,99.0,1.0,0.0
25,2459839.7275926,20.4314765930176,0.181581541895866,g,99.0,2.0,0.0
26,2459839.7280671,20.3491992950439,0.221840992569923,g,99.0,1.0,0.0
27,2459839.7646991,20.1360359191895,0.164326086640358,g,99.0,2.0,0.0
28,2459839.7757292,20.4843997955322,0.223039999604225,g,99.0,1.0,0.0
29,2459839.7766782,20.228141784668,0.17292295396328,g,99.0,2.0,0.0
30,2459839.7988194,20.3538436889648,0.216053262352943,g,99.0,1.0,0.0
31,2459839.8530208,20.3383750915527,0.204619377851486,g,99.0,2.0,0.0
32,2459837.6615972,20.9983005523682,0.316419988870621,g,99.0,2.0,0.0
33,2459838.6563773,20.4678993225098,0.248311996459961,g,99.0,2.0,0.0
34,2459839.7185995,19.9974899291992,0.13984988629818,g,99.0,1.0,0.0
35,2459839.7280671,20.3491992950439,0.221840992569923,g,99.0,1.0,0.0
36,2459839.7646991,20.1360359191895,0.164326086640358,g,99.0,2.0,0.0
37,2459839.7757292,20.4843997955322,0.223039999604225,g,99.0,1.0,0.0
38,2459839.7766782,20.228141784668,0.17292295396328,g,99.0,2.0,0.0
39,2459839.7988194,20.3538436889648,0.216053262352943,g,99.0,1.0,0.0
