,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6630208,99.0,99.0,g,21.1677536722289,2.0,1.0
1,2459838.6554282,99.0,99.0,g,20.9998440060616,2.0,1.0
2,2459839.6576042,99.0,99.0,g,21.1599923720936,2.0,1.0
3,2459839.7029051,99.0,99.0,g,21.2254066398324,2.0,1.0
5,2459839.7613657,99.0,99.0,g,21.292851637873,2.0,1.0
6,2459839.7785764,99.0,99.0,g,21.3900389389864,2.0,1.0
7,2459839.8312153,99.0,99.0,g,21.2004476357553,2.0,1.0
9,2459840.7315625,99.0,99.0,g,21.6835034611929,2.0,1.0
10,2459840.7889005,21.4956402213612,0.254080605549495,g,21.3250972209504,2.0,1.0
11,2459840.8226968,99.0,99.0,g,21.3346938728695,2.0,1.0
12,2459840.8483681,99.0,99.0,g,21.2100138623898,2.0,1.0
13,2459840.8833681,99.0,99.0,g,21.2181425373307,2.0,1.0
